Year,SSP,Process,mean_TgCH4,ymin_TgCH4,ymax_TgCH4
2014,SSP1-2.6,Gradual,0.00585941069032645,0,0.0156823431386076
2015,SSP1-2.6,Gradual,0.01180320450599036,0,0.03153569187562909
2016,SSP1-2.6,Gradual,0.017769318618886,0,0.04736881916575897
2017,SSP1-2.6,Gradual,0.02376704686660337,0,0.06320717033397504
2018,SSP1-2.6,Gradual,0.02982159437972051,0,0.07912146589168353
2019,SSP1-2.6,Gradual,0.03596156843585169,0,0.09518803897470024
2020,SSP1-2.6,Gradual,0.04221780021821069,0,0.11148834358748971
2021,SSP1-2.6,Gradual,0.04864038176315709,0,0.1281585762880732
2022,SSP1-2.6,Gradual,0.05527843224959572,0,0.14533187757243002
2023,SSP1-2.6,Gradual,0.06215201557524816,0,0.16305819705960678
2024,SSP1-2.6,Gradual,0.06925399098793872,0,0.18130959208537561
2025,SSP1-2.6,Gradual,0.07654231898604216,0,0.19996174964489652
2026,SSP1-2.6,Gradual,0.08396839249726044,0,0.2188735404482685
2027,SSP1-2.6,Gradual,0.09148997870242748,0,0.23792530711006776
2028,SSP1-2.6,Gradual,0.09908989998177475,0,0.2570694517889235
2029,SSP1-2.6,Gradual,0.10675139690392205,0,0.2762629454676719
2030,SSP1-2.6,Gradual,0.11446841131433431,0,0.29549229523858234
2031,SSP1-2.6,Gradual,0.12223409202892772,0,0.3147441594787309
2032,SSP1-2.6,Gradual,0.13005462198800644,0,0.33403993083406497
2033,SSP1-2.6,Gradual,0.13796193919089367,0,0.3534705777204451
2034,SSP1-2.6,Gradual,0.14600801348289835,0,0.37318057553010053
2035,SSP1-2.6,Gradual,0.15419560021333034,0,0.39318078007600193
2036,SSP1-2.6,Gradual,0.16252963659572836,0,0.4134818241527679
2037,SSP1-2.6,Gradual,0.17096876305185202,0,0.4339721413880693
2038,SSP1-2.6,Gradual,0.17948933356856286,0,0.4545843209391408
2039,SSP1-2.6,Gradual,0.18804408927661564,0,0.4751929911461981
2040,SSP1-2.6,Gradual,0.1965895079684199,0,0.4956817283788338
2041,SSP1-2.6,Gradual,0.20509107629815868,0,0.5159609088434989
2042,SSP1-2.6,Gradual,0.21354052249618333,0,0.5360126408324155
