Year,SSP,Process,mean_TgCH4,ymin_TgCH4,ymax_TgCH4
2043,SSP1-2.6,Gradual,0.22194858076879517,0,0.5558724139812194
2044,SSP1-2.6,Gradual,0.23034113998238573,0,0.5756161827009083
2045,SSP1-2.6,Gradual,0.23877581650659055,0,0.5954024434150977
2046,SSP1-2.6,Gradual,0.24729177248940137,0,0.6153409660920927
2047,SSP1-2.6,Gradual,0.25591851616305167,0,0.635511140900514
2048,SSP1-2.6,Gradual,0.26464377367479025,0,0.6558813140742321
2049,SSP1-2.6,Gradual,0.2734094225800832,0,0.6762963486574967
2050,SSP1-2.6,Gradual,0.28214362392136877,0,0.6965636224132927
2051,SSP1-2.6,Gradual,0.29081037536340304,0,0.7165865718251792
2052,SSP1-2.6,Gradual,0.2993914370189676,0,0.7363208382936
2053,SSP1-2.6,Gradual,0.30788092564284636,0,0.7557559832533863
2054,SSP1-2.6,Gradual,0.3162953686620948,0,0.7749411661623099
2055,SSP1-2.6,Gradual,0.3246738910757934,0,0.7939873525455896
2056,SSP1-2.6,Gradual,0.3330633086800264,0,0.8130254498462486
2057,SSP1-2.6,Gradual,0.3414718825473198,0,0.8320824864629819
2058,SSP1-2.6,Gradual,0.3499003686218935,0,0.85115981868
2059,SSP1-2.6,Gradual,0.35834605239989253,0,0.8702501273040237
2060,SSP1-2.6,Gradual,0.3667698544208641,0,0.8892515350260375
2061,SSP1-2.6,Gradual,0.3751359324127815,0,0.9080682115072738
2062,SSP1-2.6,Gradual,0.38342361808539394,0,0.9266469194679637
2063,SSP1-2.6,Gradual,0.3916301844554243,0,0.9449823064428235
2064,SSP1-2.6,Gradual,0.3997607937572787,0,0.9630915468763368
2065,SSP1-2.6,Gradual,0.40783001230116617,0,0.9810162443200623
2066,SSP1-2.6,Gradual,0.4158770266188091,0,0.998862728234532
2067,SSP1-2.6,Gradual,0.4239411459320903,0,1.0167425575482265
2068,SSP1-2.6,Gradual,0.4320413977883102,0,1.0347088711184753
2069,SSP1-2.6,Gradual,0.44015933138864144,0,1.0527119850679016
2070,SSP1-2.6,Gradual,0.4482556593385548,0,1.0706458604765006
2071,SSP1-2.6,Gradual,0.4562904096809903,0,1.0884038464393104
2072,SSP1-2.6,Gradual,0.4642470070890381,0,1.105941241510287
2073,SSP1-2.6,Gradual,0.4721204735313517,0,1.1232467063164595
2074,SSP1-2.6,Gradual,0.47990671098238086,0,1.1403134921020195
2075,SSP1-2.6,Gradual,0.4876080135908722,0,1.1571498143194958
2076,SSP1-2.6,Gradual,0.4952273275017805,0,1.173766503376152
2077,SSP1-2.6,Gradual,0.5027747554147074,0,1.1901904515015507
2078,SSP1-2.6,Gradual,0.5102676269179945,0,1.2064678402551847
2079,SSP1-2.6,Gradual,0.51772286677336,0,1.2226462784245364
2080,SSP1-2.6,Gradual,0.5251504553084169,0,1.2387552144215377
2081,SSP1-2.6,Gradual,0.5325476097549144,0,1.254790009921406
2082,SSP1-2.6,Gradual,0.5399073445652486,0,1.2707324580632993
2083,SSP1-2.6,Gradual,0.5472115432571236,0,1.2865357743947845
2084,SSP1-2.6,Gradual,0.5544516619964251,0,1.3021767360844625
2085,SSP1-2.6,Gradual,0.5616152691240524,0,1.317628634507003
2086,SSP1-2.6,Gradual,0.5686995676786897,0,1.3328867383197982
2087,SSP1-2.6,Gradual,0.5757090686109922,0,1.347961728977939
2088,SSP1-2.6,Gradual,0.5826489950851916,0,1.3628662804022258
2089,SSP1-2.6,Gradual,0.589531000834964,0,1.3776248920212089
2090,SSP1-2.6,Gradual,0.5963712258058509,0,1.3922732283082997
2091,SSP1-2.6,Gradual,0.6031813093212922,0,1.4068433014941824
2092,SSP1-2.6,Gradual,0.6099757406182885,0,1.4213750594834291
2093,SSP1-2.6,Gradual,0.6167448273762025,0,1.4358529508680098
2094,SSP1-2.6,Gradual,0.6234678327251112,0,1.4502249800170475
2095,SSP1-2.6,Gradual,0.6301321634337136,0,1.4644590975501592
2096,SSP1-2.6,Gradual,0.6367289947359182,0,1.478536936710889
2097,SSP1-2.6,Gradual,0.6432594617604472,0,1.4924607463017545
2098,SSP1-2.6,Gradual,0.6497254729194589,0,1.5062357823148156
2099,SSP1-2.6,Gradual,0.6561359952144974,0,1.519879609514637
2100,SSP1-2.6,Gradual,0.6625037729605676,0,1.5334166524630681
2014,SSP1-2.6,Abrupt,0.01278849928985214,0.0072595805733644304,0.01831741800633985
2015,SSP1-2.6,Abrupt,0.02576669039242789,0.01458478172733574,0.03694859905752004
2016,SSP1-2.6,Abrupt,0.03892623483990712,0.02198628092925065,0.055866188750563595
2017,SSP1-2.6,Abrupt,0.05231339219507296,0.02951242727968705,0.07511435711045887
2018,SSP1-2.6,Abrupt,0.06597052052019993,0.03720504769376341,0.09473599334663645
2019,SSP1-2.6,Abrupt,0.0799306276627468,0.04509702861701926,0.11476422670847436
2020,SSP1-2.6,Abrupt,0.09422647886756956,0.05321951002735926,0.13523344770777987
2021,SSP1-2.6,Abrupt,0.10892262680073736,0.06162565360567365,0.15621959999580107
2022,SSP1-2.6,Abrupt,0.1240676626514814,0.07035572375407567,0.17777960154888714
2023,SSP1-2.6,Abrupt,0.13966019802947072,0.07941160420001495,0.1999087918589265
2024,SSP1-2.6,Abrupt,0.1556692262841756,0.08877110413182664,0.22256734843652454
2025,SSP1-2.6,Abrupt,0.17202216906106077,0.09837805526816214,0.24566628285395942
2026,SSP1-2.6,Abrupt,0.1886589852637741,0.10818627143276371,0.26913169909478446
2027,SSP1-2.6,Abrupt,0.20553486039039384,0.11816161350970619,0.2929081072710815
2028,SSP1-2.6,Abrupt,0.22264324050424475,0.12830050970554613,0.31698597130294337
2029,SSP1-2.6,Abrupt,0.23996453538551224,0.13858836278963022,0.34134070798139426
2030,SSP1-2.6,Abrupt,0.25749584669428005,0.1490236509997361,0.36596804238882397
2031,SSP1-2.6,Abrupt,0.2752253861608807,0.15959506600438983,0.3908557063173716
2032,SSP1-2.6,Abrupt,0.29316180743826636,0.17030881094178474,0.416014803934748
2033,SSP1-2.6,Abrupt,0.31134474897016756,0.18119671510019156,0.4414927828401436
2034,SSP1-2.6,Abrupt,0.3298297653614266,0.192303721908844,0.4673558088140092
2035,SSP1-2.6,Abrupt,0.34859031873181207,0.20360668713371258,0.4935739503299116
2036,SSP1-2.6,Abrupt,0.36762758117115646,0.21510633003923874,0.5201488323030742
2037,SSP1-2.6,Abrupt,0.38687593466777104,0.22674793500070065,0.5470039343348414
2038,SSP1-2.6,Abrupt,0.4063189830453789,0.2385191076995102,0.5741188583912475
2039,SSP1-2.6,Abrupt,0.4258995438493696,0.2503733130987386,0.6014257746000007
2040,SSP1-2.6,Abrupt,0.44557813859019546,0.262279821482432,0.6288764556979589
2041,SSP1-2.6,Abrupt,0.46532402924566946,0.2742152317664728,0.6564328267248661
2042,SSP1-2.6,Abrupt,0.4851394270003211,0.28618321790971696,0.6840956360909252
2043,SSP1-2.6,Abrupt,0.5050395422787215,0.29819755573407875,0.7118815288233642
2044,SSP1-2.6,Abrupt,0.525051094935773,0.3102810572360565,0.7398211326354894
2045,SSP1-2.6,Abrupt,0.5452339984077564,0.3224838111725697,0.7679841856429432
2046,SSP1-2.6,Abrupt,0.5656090482756391,0.3348220997692185,0.7963959967820596
2047,SSP1-2.6,Abrupt,0.5861941744257866,0.3473102278476248,0.8250781210039484
2048,SSP1-2.6,Abrupt,0.6069578622098614,0.3599209712217556,0.8539947531979671
2049,SSP1-2.6,Abrupt,0.627830317433522,0.3725958171191955,0.8830648177478486
2050,SSP1-2.6,Abrupt,0.6487407290537581,0.3852767723769162,0.9122046857306001
2051,SSP1-2.6,Abrupt,0.6696697463262097,0.3979502199626616,0.9413892726897577
2052,SSP1-2.6,Abrupt,0.6906055539184414,0.4106081697863095,0.9706029380505732
2053,SSP1-2.6,Abrupt,0.711546113607345,0.42325039225849365,0.9998418349561964
2054,SSP1-2.6,Abrupt,0.7325166542251916,0.43589927336346446,1.0291340350869187
2055,SSP1-2.6,Abrupt,0.753562176715545,0.4485928141626371,1.058531539268453
2056,SSP1-2.6,Abrupt,0.7747228193119682,0.46136408151187497,1.0880815571120614
2057,SSP1-2.6,Abrupt,0.7959820054402996,0.47419785064904296,1.1177661602315563
2058,SSP1-2.6,Abrupt,0.8173335454720424,0.48708887283921104,1.1475782181048737
2059,SSP1-2.6,Abrupt,0.8387702219279198,0.5000312718046395,1.1775091720512
2060,SSP1-2.6,Abrupt,0.8602427628639637,0.5129833390890567,1.2075021866388709
2061,SSP1-2.6,Abrupt,0.8817175358267666,0.5259177425592847,1.2375173290942485
2062,SSP1-2.6,Abrupt,0.9031764310982652,0.5388206722247533,1.267532189971777
2063,SSP1-2.6,Abrupt,0.9246231254762116,0.5516966841005821,1.297549566851841
2064,SSP1-2.6,Abrupt,0.9460652859674664,0.56455309210134,1.3275774798335929
2065,SSP1-2.6,Abrupt,0.9675226110896876,0.5774071833346652,1.35763803884471
2066,SSP1-2.6,Abrupt,0.9890468188546798,0.5903030101825804,1.3877906275267793
2067,SSP1-2.6,Abrupt,1.0106684182312955,0.6032653549595461,1.4180714815030449
2068,SSP1-2.6,Abrupt,1.0323884974882622,0.616293798151115,1.4484831968254095
2069,SSP1-2.6,Abrupt,1.0541713755760431,0.6293570768422407,1.4789856743098455
2070,SSP1-2.6,Abrupt,1.0759722337573994,0.6424170594702325,1.5095274080445662
2071,SSP1-2.6,Abrupt,1.0977467527125069,0.6554371763438238,1.54005632908119
2072,SSP1-2.6,Abrupt,1.1194836472888088,0.6684098699361933,1.5705574246414242
2073,SSP1-2.6,Abrupt,1.1411791796034356,0.6813334873517412,1.60102487185513
2074,SSP1-2.6,Abrupt,1.1628225790568298,0.6941998081841536,1.631445349929506
2075,SSP1-2.6,Abrupt,1.184416320092609,0.7070118466861907,1.6618207934990274
2076,SSP1-2.6,Abrupt,1.205961108729837,0.719770717895511,1.6921514995641629
2077,SSP1-2.6,Abrupt,1.22747625042354,0.7324934695108674,1.7224590313362125
2078,SSP1-2.6,Abrupt,1.2489948326755809,0.7452083972391474,1.7527812681120143
2079,SSP1-2.6,Abrupt,1.2705415498917234,0.7579358602245546,1.7831472395588923
2080,SSP1-2.6,Abrupt,1.2921222874903442,0.7706798857251725,1.8135646892555157
2081,SSP1-2.6,Abrupt,1.3137188123268873,0.7834242583142053,1.8440133663395692
2082,SSP1-2.6,Abrupt,1.3353141280812788,0.7961546534710893,1.8744736026914683
2083,SSP1-2.6,Abrupt,1.3568724117798534,0.8088408928749924,1.9049039306847144
2084,SSP1-2.6,Abrupt,1.3783808423474608,0.8214733670361196,1.935288317658802
2085,SSP1-2.6,Abrupt,1.3998056754413453,0.8340244557521865,1.965586895130504
2086,SSP1-2.6,Abrupt,1.4211386345120791,0.8464888580591663,1.995788410964992
2087,SSP1-2.6,Abrupt,1.4423922646783571,0.8588786171886306,2.0259059121680836
2088,SSP1-2.6,Abrupt,1.4635795523428048,0.871205344231195,2.0559537604544147
2089,SSP1-2.6,Abrupt,1.4847355474142412,0.8834991453310576,2.085971949497425
2090,SSP1-2.6,Abrupt,1.505906124820123,0.8957989270866034,2.116013322553643
2091,SSP1-2.6,Abrupt,1.5271128528996338,0.9081220981514132,2.1461036076478543
2092,SSP1-2.6,Abrupt,1.5483811925306312,0.9204894021400017,2.176272982921261
2093,SSP1-2.6,Abrupt,1.5696635037946287,0.9328584668227317,2.206468540766526
2094,SSP1-2.6,Abrupt,1.5909060868901952,0.9451837221084736,2.236628451671917
2095,SSP1-2.6,Abrupt,1.612080474088367,0.9574426821006219,2.2667182660761123
2096,SSP1-2.6,Abrupt,1.633161059461816,0.9696152637477965,2.2967068551758354
2097,SSP1-2.6,Abrupt,1.6541538033901424,0.9817084327282662,2.3265991740520184
2098,SSP1-2.6,Abrupt,1.6750636469620703,0.9937273123740017,2.356399981550139
2099,SSP1-2.6,Abrupt,1.695922480528404,1.0056997728495836,2.386145188207225
2100,SSP1-2.6,Abrupt,1.7167751473868271,1.0176638431208338,2.4158864516528205
2014,SSP1-2.6,Combustion,0.00288438463404279,0.0017184104486575298,0.00405035881942805
2015,SSP1-2.6,Combustion,0.00579172953486903,0.003438858045055,0.008144601024683059
2016,SSP1-2.6,Combustion,0.00872039131236205,0.00516278256700688,0.01227800005771722
2017,SSP1-2.6,Combustion,0.01168123296099925,0.006900187125677521,0.016462278796320978
2018,SSP1-2.6,Combustion,0.01468406358849966,0.00865954286022661,0.020708584316772707
2019,SSP1-2.6,Combustion,0.0177363236265647,0.0104470692567772,0.025025577996352202
2020,SSP1-2.6,Combustion,0.02084532854517446,0.012268492538051031,0.02942216455229789
2021,SSP1-2.6,Combustion,0.02402553660414331,0.014134008970072838,0.03391706423821378
2022,SSP1-2.6,Combustion,0.02728774153440925,0.016050822462977662,0.03852466060584084
2023,SSP1-2.6,Combustion,0.03063115801792476,0.01801788144084708,0.04324443459500244
2024,SSP1-2.6,Combustion,0.03404837851923251,0.020029675478825698,0.04806708155963932
2025,SSP1-2.6,Combustion,0.03752253172793427,0.022074322812930425,0.05297074064293812
2026,SSP1-2.6,Combustion,0.04103966355524748,0.024142344749717767,0.057936982360777184
2027,SSP1-2.6,Combustion,0.0445893290130198,0.02622683329364975,0.06295182473238985
2028,SSP1-2.6,Combustion,0.04816992769633602,0.028327029666677928,0.06801282572599411
2029,SSP1-2.6,Combustion,0.05177681162852642,0.030439842949684087,0.07311378030736874
2030,SSP1-2.6,Combustion,0.05540923168667348,0.03256485635763782,0.07825360701570913
2031,SSP1-2.6,Combustion,0.05906440191730348,0.03469993661617548,0.083428867218431485
2032,SSP1-2.6,Combustion,0.06274431805436913,0.036846401707355134,0.08864223440138312
2033,SSP1-2.6,Combustion,0.06645826434885121,0.039010595216953645,0.093905933480748785
2034,SSP1-2.6,Combustion,0.07021927977590095,0.041201254468033396,0.0992373050837685
2035,SSP1-2.6,Combustion,0.07402112071537174,0.0434134485719318,0.10462879285881169
2036,SSP1-2.6,Combustion,0.07786411797650764,0.04564725746738703,0.11008097848562824
2037,SSP1-2.6,Combustion,0.08173272708600042,0.04789171650081339,0.11557373767118745
2038,SSP1-2.6,Combustion,0.08562303801200871,0.05014445296771478,0.12110162305630265
2039,SSP1-2.6,Combustion,0.08952134950101079,0.05239617446385909,0.1266465245381625
2040,SSP1-2.6,Combustion,0.09341817691992996,0.05464083602747469,0.13219551781238523
2041,SSP1-2.6,Combustion,0.0973061284296644,0.05687400150676366,0.13773825535256515
2042,SSP1-2.6,Combustion,0.10118575704370876,0.05909669109893481,0.1432748229884827
2043,SSP1-2.6,Combustion,0.10506077017819931,0.06131186431609358,0.14880967604030504
2044,SSP1-2.6,Combustion,0.10893766248595664,0.0635242064633928,0.15435111850852049
2045,SSP1-2.6,Combustion,0.11283096655255524,0.06574381247086708,0.1599181206342434
2046,SSP1-2.6,Combustion,0.11674580958398934,0.06797383977798499,0.16551777938999368
2047,SSP1-2.6,Combustion,0.12068662225795178,0.0702170506159521,0.17115619389995146
2048,SSP1-2.6,Combustion,0.12464578021827812,0.07246780557865948,0.17682375485789675
2049,SSP1-2.6,Combustion,0.12860623674899277,0.07471424995759418,0.18249822354039136
2050,SSP1-2.6,Combustion,0.1325506470586904,0.07694479802799604,0.18815649608938478
2051,SSP1-2.6,Combustion,0.1364742779675823,0.07915702389854669,0.19379153203661792
2052,SSP1-2.6,Combustion,0.14037429866579726,0.08134959105288356,0.19939900627871096
2053,SSP1-2.6,Combustion,0.14425031154846515,0.08352270751398938,0.20497791558294093
2054,SSP1-2.6,Combustion,0.1481086250344163,0.0856811345775397,0.2105361154912929
2055,SSP1-2.6,Combustion,0.1519604016596783,0.08783272334003897,0.21608807997931764
2056,SSP1-2.6,Combustion,0.15581563160992976,0.08998420034620998,0.22164706287364955
2057,SSP1-2.6,Combustion,0.15967033659296498,0.09213236159373012,0.22720831159219984
2058,SSP1-2.6,Combustion,0.16352305545586004,0.09427613828190172,0.23276997262981836
2059,SSP1-2.6,Combustion,0.167372061152413,0.09641435496897088,0.2383297673358551
2060,SSP1-2.6,Combustion,0.17120521618426532,0.09853855385874384,0.2438718785097868
2061,SSP1-2.6,Combustion,0.1750142530569847,0.1006433585778851,0.24938514753608432
2062,SSP1-2.6,Combustion,0.17879478424967574,0.10272619939396152,0.25486336910539
2063,SSP1-2.6,Combustion,0.18254785063190412,0.1047882528073491,0.26030744845645915
2064,SSP1-2.6,Combustion,0.18627550598129347,0.1068312006780547,0.26571981128453226
2065,SSP1-2.6,Combustion,0.18998278492362977,0.10885871118470301,0.2711068586625565
2066,SSP1-2.6,Combustion,0.19368264622071987,0.1108798639166182,0.27648542852482155
2067,SSP1-2.6,Combustion,0.1973827973532087,0.11289966418285911,0.2818659305235583
2068,SSP1-2.6,Combustion,0.20108362458742743,0.11491793493095957,0.28724931424389527
2069,SSP1-2.6,Combustion,0.2047763321294539,0.11692823340999273,0.2926244308489151
2070,SSP1-2.6,Combustion,0.208449794795795,0.1189228607470033,0.2979767288445867
2071,SSP1-2.6,Combustion,0.2120930435832737,0.12089452164286872,0.30329156552367864
2072,SSP1-2.6,Combustion,0.21570338872059475,0.1228419377664003,0.3085648396747892
2073,SSP1-2.6,Combustion,0.21928007023048615,0.12476500635936186,0.3137951341016104
2074,SSP1-2.6,Combustion,0.22282060958383731,0.12666226573892136,0.31897895342875326
2075,SSP1-2.6,Combustion,0.22632583229164543,0.12853457620723988,0.324117088376051
2076,SSP1-2.6,Combustion,0.22979614144784027,0.13038237946305076,0.3292099034326298
2077,SSP1-2.6,Combustion,0.2332365505256454,0.13220934086297131,0.3342637601883195
2078,SSP1-2.6,Combustion,0.2366554719333164,0.13402134743099337,0.33928959643563944
2079,SSP1-2.6,Combustion,0.24005921704418548,0.13582258066958586,0.3442958534187851
2080,SSP1-2.6,Combustion,0.243449407946805,0.13761383737260818,0.3492849785210018
2081,SSP1-2.6,Combustion,0.2468216421386084,0.1393918160267903,0.3542514682504265
2082,SSP1-2.6,Combustion,0.2501718108201698,0.14115368476588225,0.3591899368744574
2083,SSP1-2.6,Combustion,0.2534911406348369,0.1428934143044585,0.3640888669652153
2084,SSP1-2.6,Combustion,0.2567765985496912,0.1446092833419373,0.3689439137574451
2085,SSP1-2.6,Combustion,0.2600200123866128,0.14629584741142732,0.3737441773617983
2086,SSP1-2.6,Combustion,0.26321956836290616,0.1479523364061624,0.37848680031964993
2087,SSP1-2.6,Combustion,0.26637863189281746,0.14958150801797174,0.38317575576766316
2088,SSP1-2.6,Combustion,0.2695006758073169,0.15118594422091697,0.38781540739371684
2089,SSP1-2.6,Combustion,0.27259460362099275,0.1527719718151041,0.3924172354268814
2090,SSP1-2.6,Combustion,0.2756719674821493,0.15434755706234218,0.3969963779019564
2091,SSP1-2.6,Combustion,0.2787382704251996,0.1559161672415508,0.40156037360884844
2092,SSP1-2.6,Combustion,0.2817999360589689,0.15748198818339315,0.4061178839345447
2093,SSP1-2.6,Combustion,0.2848452815439677,0.15903627975259263,0.4106542833353428
2094,SSP1-2.6,Combustion,0.2878611078682938,0.1605698486398825,0.41515236709670505
2095,SSP1-2.6,Combustion,0.2908405099768024,0.16207836027295763,0.41960265968064714
2096,SSP1-2.6,Combustion,0.2937773513536848,0.16355800363036446,0.4239966990770052
2097,SSP1-2.6,Combustion,0.29667332763435383,0.16501052605471506,0.4283361292139926
2098,SSP1-2.6,Combustion,0.29952991785082234,0.16643723788906203,0.4326225978125826
2099,SSP1-2.6,Combustion,0.30235521413643707,0.16784404575667786,0.43686638251619625
2100,SSP1-2.6,Combustion,0.30516047736530116,0.1692388196259412,0.4410821351046611
2014,SSP1-2.6,Postfire,0.00320627667307075,0.00167932410234038,0.00473322924380112
2015,SSP1-2.6,Postfire,0.00652176444504149,0.00337885984073719,0.00966466904934579
2016,SSP1-2.6,Postfire,0.00991650167739239,0.0051214632327315,0.01471154012205328
2017,SSP1-2.6,Postfire,0.01338905306988956,0.006910423049624889,0.01986768309015423
2018,SSP1-2.6,Postfire,0.01694156682410084,0.008746503466409471,0.025136630181792213
2019,SSP1-2.6,Postfire,0.02057647357520786,0.010630479225837458,0.03052246792457826
2020,SSP1-2.6,Postfire,0.02429635701599248,0.01256325951302691,0.036029454518958046
2021,SSP1-2.6,Postfire,0.02810471151315909,0.01454548232698736,0.04166394069933082
2022,SSP1-2.6,Postfire,0.03200554851054493,0.016577905640693148,0.04743319138039671
2023,SSP1-2.6,Postfire,0.03600209142141408,0.018662052752563926,0.05334213009026423
2024,SSP1-2.6,Postfire,0.04009641832181605,0.020800078978102838,0.05939275766552926
2025,SSP1-2.6,Postfire,0.04428915208616402,0.022994649996642847,0.0655836541756852
2026,SSP1-2.6,Postfire,0.0485801526601113,0.025248307142777142,0.07191199817744545
2027,SSP1-2.6,Postfire,0.05296924643576753,0.027563100776619952,0.0783753920949151
2028,SSP1-2.6,Postfire,0.05745691748232516,0.02994034932418325,0.08497348564046707
2029,SSP1-2.6,Postfire,0.06204373307328952,0.03238117036153221,0.09170629578504683
2030,SSP1-2.6,Postfire,0.06673037476484497,0.034886464257894954,0.09857428527179499
2031,SSP1-2.6,Postfire,0.07151750495092862,0.0374569423495116,0.10557806755234564
2032,SSP1-2.6,Postfire,0.07640609064404315,0.04009303028911112,0.11271915099897517
2033,SSP1-2.6,Postfire,0.08139811970635213,0.042794714690256516,0.12000152472244775
2034,SSP1-2.6,Postfire,0.08649665488432781,0.04556175230279602,0.1274315574658596
2035,SSP1-2.6,Postfire,0.09170348425785048,0.0483949574861998,0.13501201102950117
2036,SSP1-2.6,Postfire,0.09701995606960398,0.0512953403739372,0.14274457176527075
2037,SSP1-2.6,Postfire,0.10244604654570295,0.054264545867129185,0.15062754722427674
2038,SSP1-2.6,Postfire,0.10798165375425418,0.05730385463546024,0.1586594528730481
2039,SSP1-2.6,Postfire,0.11362601238769351,0.060414614816404484,0.16683740995898255
2040,SSP1-2.6,Postfire,0.11937787108259616,0.06359799319503595,0.17515774897015637
2041,SSP1-2.6,Postfire,0.12523606253629732,0.06685471713845692,0.18361740793413772
2042,SSP1-2.6,Postfire,0.1312001200269984,0.07018485178116637,0.19221538827283044
2043,SSP1-2.6,Postfire,0.13727033195114083,0.07358802503062775,0.2009526388716539
2044,SSP1-2.6,Postfire,0.14344760313298421,0.07706366420425119,0.20983154206171722
2045,SSP1-2.6,Postfire,0.14973410466554166,0.08061080956079061,0.2188573997702927
2046,SSP1-2.6,Postfire,0.1561319056183131,0.08422901338121185,0.22803479785541436
2047,SSP1-2.6,Postfire,0.16264277339958794,0.08791827204210119,0.2373672747570747
2048,SSP1-2.6,Postfire,0.16926723803865848,0.09167936052603592,0.24685511555128103
2049,SSP1-2.6,Postfire,0.17600390200359792,0.09551381502331134,0.2564939889838845
2050,SSP1-2.6,Postfire,0.18285021906838292,0.0994231876965573,0.26627725044020856
2051,SSP1-2.6,Postfire,0.1898044037621541,0.10340802564202466,0.27620078188228353
2052,SSP1-2.6,Postfire,0.19686533155251065,0.10746823805270354,0.28626242505231775
2053,SSP1-2.6,Postfire,0.2040321908944787,0.11160343493538001,0.2964609468535774
2054,SSP1-2.6,Postfire,0.21130505826903012,0.11581276252975098,0.30679735400830926
2055,SSP1-2.6,Postfire,0.218685142721124,0.12009499905936549,0.3172752863828825
2056,SSP1-2.6,Postfire,0.2261741719634811,0.12444903806895027,0.32789930585801197
2057,SSP1-2.6,Postfire,0.23377258995317876,0.12887475661368353,0.338670423292674
2058,SSP1-2.6,Postfire,0.2414803095005977,0.13337229843495624,0.3495883205662392
2059,SSP1-2.6,Postfire,0.24929723902549644,0.13794175882659998,0.3606527192243929
2060,SSP1-2.6,Postfire,0.2572219918361092,0.14258375575259696,0.3718602279196215
2061,SSP1-2.6,Postfire,0.26525268109285555,0.1472987826051243,0.3832065795805868
2062,SSP1-2.6,Postfire,0.273387747305352,0.15208685092117297,0.394688643689531
2063,SSP1-2.6,Postfire,0.281626321230964,0.15694745013049421,0.40630519233143375
2064,SSP1-2.6,Postfire,0.2899679726374084,0.16187984115632875,0.4180561041184881
2065,SSP1-2.6,Postfire,0.2984127686290178,0.16688312382185816,0.4299424134361774
2066,SSP1-2.6,Postfire,0.3069620689559996,0.17195598822495758,0.44196814968704157
2067,SSP1-2.6,Postfire,0.31561746711501887,0.17709741030136478,0.45413752392867296
2068,SSP1-2.6,Postfire,0.3243797291607206,0.18230706026550433,0.46645239805593686
2069,SSP1-2.6,Postfire,0.33324814740956316,0.1875853550206368,0.47891093979848953
2070,SSP1-2.6,Postfire,0.34222094110977225,0.19293295736267535,0.49150892485686914
2071,SSP1-2.6,Postfire,0.3512957794595388,0.19835040321328887,0.5042411557057888
2072,SSP1-2.6,Postfire,0.3604709588528161,0.20383757492460408,0.5171043427810281
2073,SSP1-2.6,Postfire,0.36974532154871453,0.2093939321497865,0.5300967109476425
2074,SSP1-2.6,Postfire,0.3791175988350391,0.21501891197324133,0.5432162856968369
2075,SSP1-2.6,Postfire,0.3885867728576218,0.2207117601570552,0.5564617855581884
2076,SSP1-2.6,Postfire,0.3981519621787984,0.22647165490607568,0.5698322694515211
2077,SSP1-2.6,Postfire,0.40781286317362103,0.23229755465020968,0.5833281716970324
2078,SSP1-2.6,Postfire,0.41756999305634007,0.2381882156497216,0.5969517704629586
2079,SSP1-2.6,Postfire,0.4274240934366757,0.24414256496948158,0.6107056219038698
2080,SSP1-2.6,Postfire,0.4373754644461197,0.2501599573485167,0.6245909715437227
2081,SSP1-2.6,Postfire,0.4474234793576983,0.25624023513899175,0.6386067235764048
