Year,SSP,Process,mean_GtCO2,ymin_GtCO2,ymax_GtCO2
2067,SSP1-2.6,Gradual,49.19304312592484,4.110424458996377,94.2756617928533
2068,SSP1-2.6,Gradual,50.11694366826128,4.343340485806671,95.89054685071588
2069,SSP1-2.6,Gradual,51.04264737886768,4.577175228537818,97.50811952919753
2070,SSP1-2.6,Gradual,51.96551871778386,4.812889912669448,99.11814752289827
2071,SSP1-2.6,Gradual,52.88089102274528,5.0514062573844924,100.71037578810606
2072,SSP1-2.6,Gradual,53.78685427699281,5.293169233785903,102.28053932019972
2073,SSP1-2.6,Gradual,54.68286391428271,5.538111143281334,103.82761668528408
2074,SSP1-2.6,Gradual,55.568508928766725,5.78588557296478,105.35113228456868
2075,SSP1-2.6,Gradual,56.44409265636443,6.036223976058288,106.85196133667057
2076,SSP1-2.6,Gradual,57.30999079434552,6.288739180711083,108.33124240797994
2077,SSP1-2.6,Gradual,58.16734705280005,6.543255395374139,109.79143871022595
2078,SSP1-2.6,Gradual,59.01809520140949,6.79946087186778,111.2367295309512
2079,SSP1-2.6,Gradual,59.86412782601163,7.056769543665318,112.67148610835795
2080,SSP1-2.6,Gradual,60.706660453257506,7.314503035201383,114.09881787131363
2081,SSP1-2.6,Gradual,61.54546020076306,7.572290130875999,115.51863027065012
2082,SSP1-2.6,Gradual,62.37976584732465,7.83020669604953,116.92932499859977
2083,SSP1-2.6,Gradual,63.207538780257075,8.088505154451084,118.32657240606306
2084,SSP1-2.6,Gradual,64.02782694037937,8.34743379090748,119.70822008985127
2085,SSP1-2.6,Gradual,64.83930215008237,8.606511918930423,121.07209238123433
2086,SSP1-2.6,Gradual,65.64168975665,8.86547908061096,122.41790043268904
2087,SSP1-2.6,Gradual,66.43550623905459,9.124380971201717,123.74663150690746
2088,SSP1-2.6,Gradual,67.2213367548063,9.383249718384285,125.05942379122831
2089,SSP1-2.6,Gradual,68.00044963210271,9.642589500148013,126.35830976405742
2090,SSP1-2.6,Gradual,68.77459202822602,9.902928335981045,127.646255720471
2091,SSP1-2.6,Gradual,69.54502455168382,10.164020219578624,128.92602888378903
2092,SSP1-2.6,Gradual,70.31341649826022,10.425380871402787,130.20145212511767
2093,SSP1-2.6,Gradual,71.07873939593334,10.685965059821996,131.47151373204468
2094,SSP1-2.6,Gradual,71.83871731601604,10.945762385379084,132.731672246653
2095,SSP1-2.6,Gradual,72.59197118263546,11.204850139568585,133.97909222570235
2096,SSP1-2.6,Gradual,73.33754832394816,11.462842496414268,135.21225415148206
2097,SSP1-2.6,Gradual,74.07558132047413,11.719805037577089,136.43135760337117
2098,SSP1-2.6,Gradual,74.80628959264149,11.97568435097277,137.63689483431023
2099,SSP1-2.6,Gradual,75.5306524233012,12.231003360896217,138.8303014857062
2100,SSP1-2.6,Gradual,76.25005424250638,12.486563794567118,140.01354469044566
2014,SSP1-2.6,Abrupt,0.15916345857268502,0.0627552190902087,0.25557169805516133
2015,SSP1-2.6,Abrupt,0.3218452060608402,0.12630791675098163,0.5173824953706988
2016,SSP1-2.6,Abrupt,0.48785238482484405,0.19082521912579858,0.7848795505238895
2017,SSP1-2.6,Abrupt,0.6579436126082895,0.256978597918865,1.058908627297714
2018,SSP1-2.6,Abrupt,0.8328361453579803,0.3253635120219105,1.3403087786940502
2019,SSP1-2.6,Abrupt,1.013105890205767,0.39646851795488414,1.62974326245665
2020,SSP1-2.6,Abrupt,1.1993382439908344,0.47076804858734234,1.9279084393943267
2021,SSP1-2.6,Abrupt,1.392714145344027,0.5490921077025896,2.2363361829854647
2022,SSP1-2.6,Abrupt,1.594157576536464,0.6321177200181032,2.556197433054825
2023,SSP1-2.6,Abrupt,1.8037225962505936,0.7199960833640184,2.887449109137169
2024,SSP1-2.6,Abrupt,2.020905288965016,0.812478133822548,3.2293324441074835
2025,SSP1-2.6,Abrupt,2.244429036825072,0.9087674792268594,3.580090594423285
2026,SSP1-2.6,Abrupt,2.4732168531982373,1.0081800137262713,3.9382536926702034
2027,SSP1-2.6,Abrupt,2.7064532883864394,1.1101942209896245,4.302712355783254
2028,SSP1-2.6,Abrupt,2.9440329403869643,1.214789000379534,4.673276880394394
2029,SSP1-2.6,Abrupt,3.1856071968285287,1.3217585326733288,5.049455860983729
2030,SSP1-2.6,Abrupt,3.4311311228983077,1.4310977666065514,5.431164479190064
2031,SSP1-2.6,Abrupt,3.680398197367496,1.5426409007248987,5.818155494010093
2032,SSP1-2.6,Abrupt,3.933580595630045,1.656507988337748,6.210653202922342
2033,SSP1-2.6,Abrupt,4.191432142159504,1.7732478891400798,6.609616395178929
2034,SSP1-2.6,Abrupt,4.45502383873298,1.8936641749011636,7.016383502564796
2035,SSP1-2.6,Abrupt,4.723877847984581,2.0174033706827483,7.430352325286414
2036,SSP1-2.6,Abrupt,4.998028547340455,2.144500383513203,7.851556711167708
2037,SSP1-2.6,Abrupt,5.276233757059828,2.2740186761329464,8.278448837986708
2038,SSP1-2.6,Abrupt,5.558183157564634,2.4057509049389996,8.710615410190268
2039,SSP1-2.6,Abrupt,5.842791611657431,2.5389003111060826,9.14668291220878
2040,SSP1-2.6,Abrupt,6.129305100841552,2.6729362191461514,9.585673982536951
2041,SSP1-2.6,Abrupt,6.417135780480792,2.807455493511896,10.026816067449689
2042,SSP1-2.6,Abrupt,6.706323423069383,2.9425246636994595,10.470122182439308
2043,SSP1-2.6,Abrupt,6.997157946807589,3.0783881693036523,10.915927724311526
2044,SSP1-2.6,Abrupt,7.290150532312785,3.2154496029670483,11.364851461658521
2045,SSP1-2.6,Abrupt,7.586449468412647,3.3545937512029695,11.818305185622325
2046,SSP1-2.6,Abrupt,7.88645775971392,3.4961153028344683,12.276800216593372
2047,SSP1-2.6,Abrupt,8.190529289920347,3.640287217158349,12.740771362682345
2048,SSP1-2.6,Abrupt,8.49806704138304,3.7866424432642827,13.209491639501797
2049,SSP1-2.6,Abrupt,8.807732175175394,3.9341466930502964,13.681317657300491
2050,SSP1-2.6,Abrupt,9.118160201949488,4.081764992565282,14.154555411333693
2051,SSP1-2.6,Abrupt,9.428974566914595,4.229252397182079,14.628696736647111
2052,SSP1-2.6,Abrupt,9.739945506064778,4.376466391081856,15.1034246210477
2053,SSP1-2.6,Abrupt,10.051031545012474,4.5234023693134455,15.578660720711504
2054,SSP1-2.6,Abrupt,10.362715975730056,4.6704583489649965,16.054973602495117
2055,SSP1-2.6,Abrupt,10.675863984477894,4.818311979688296,16.533415989267493
2056,SSP1-2.6,Abrupt,10.991249503325808,4.967555552520083,17.014943454131533
2057,SSP1-2.6,Abrupt,11.308556064616752,5.1179211588509785,17.499190970382525
2058,SSP1-2.6,Abrupt,11.627664751137466,5.26931585665845,17.98601364561648
2059,SSP1-2.6,Abrupt,11.948437507164725,5.421637345415053,18.475237668914396
2060,SSP1-2.6,Abrupt,12.26992679384536,5.574143346439698,18.96571024125102
2061,SSP1-2.6,Abrupt,12.59148333083724,5.726344202135673,19.456622459538806
2062,SSP1-2.6,Abrupt,12.912756099958592,5.877991539888697,19.947520660028488
2063,SSP1-2.6,Abrupt,13.233813387517973,6.0291646169874324,20.438462158048512
2064,SSP1-2.6,Abrupt,13.554801510133018,6.179993218332285,20.92960980193375
2065,SSP1-2.6,Abrupt,13.876098684934767,6.330785537865656,21.42141183200388
2066,SSP1-2.6,Abrupt,14.198699778100432,6.482327438943919,21.915072117256944
2067,SSP1-2.6,Abrupt,14.523193536720608,6.635063240395229,22.411323833045987
2068,SSP1-2.6,Abrupt,14.849603538788948,6.788989013411349,22.910218064166546
2069,SSP1-2.6,Abrupt,15.177245092913608,6.943549447474378,23.41094073835284
2070,SSP1-2.6,Abrupt,15.505255247078145,7.098063850295546,23.912446643860743
2071,SSP1-2.6,Abrupt,15.83277948427036,7.2518773896974835,24.413681578843235
2072,SSP1-2.6,Abrupt,16.159597438076826,7.404852578367938,24.914342297785716
2073,SSP1-2.6,Abrupt,16.48563529124368,7.5569582788842435,25.41431230360311
2074,SSP1-2.6,Abrupt,16.81068450198683,7.708047381256819,25.913321622716843
2075,SSP1-2.6,Abrupt,17.134791540769623,7.8581733023267475,26.411409779212498
2076,SSP1-2.6,Abrupt,17.45796964756567,8.007356100536137,26.908583194595202
2077,SSP1-2.6,Abrupt,17.780589591507773,8.155899819805342,27.405279363210205
2078,SSP1-2.6,Abrupt,18.10328720679371,8.304307267368443,27.902267146218975
2079,SSP1-2.6,Abrupt,18.426538126350696,8.452942164443305,28.400134088258085
2080,SSP1-2.6,Abrupt,18.750456855116095,8.601877505203907,28.89903620502828
2081,SSP1-2.6,Abrupt,19.074693904209543,8.750825868843044,29.39856193957604
2082,SSP1-2.6,Abrupt,19.39892236135068,8.899532163704572,29.898312558996793
2083,SSP1-2.6,Abrupt,19.722453341743055,9.047459589818075,30.397447093668035
2084,SSP1-2.6,Abrupt,20.045038555495715,9.194435728839998,30.89564138215143
2085,SSP1-2.6,Abrupt,20.366028320163867,9.339968609892269,31.392088030435467
2086,SSP1-2.6,Abrupt,20.685261384901963,9.483963141068617,31.88655962873531
2087,SSP1-2.6,Abrupt,21.00297842026751,9.626634306947924,32.3793225335871
2088,SSP1-2.6,Abrupt,21.31942992505761,9.768191225706751,32.87066862440847
2089,SSP1-2.6,Abrupt,21.63528710111531,9.909165288998516,33.361408913232104
2090,SSP1-2.6,Abrupt,21.951429447381734,10.050243491880531,33.85261540288294
2091,SSP1-2.6,Abrupt,22.268272226714316,10.191734968743464,34.34480948468517
2092,SSP1-2.6,Abrupt,22.586305246501514,10.334007686346611,34.83860280665642
2093,SSP1-2.6,Abrupt,22.90461738291448,10.476315997315744,35.33291876851322
2094,SSP1-2.6,Abrupt,23.2221786921438,10.617853591064371,35.826503793223225
2095,SSP1-2.6,Abrupt,23.538441457459506,10.758222363337282,36.31866055158173
2096,SSP1-2.6,Abrupt,23.852913346649444,10.897067822211325,36.80875887108756
2097,SSP1-2.6,Abrupt,24.16570664224799,11.034512220106452,37.29690106438953
2098,SSP1-2.6,Abrupt,24.476915960757378,11.17064729576908,37.783184625745676
2099,SSP1-2.6,Abrupt,24.787151313383458,11.3059643811944,38.268338245572515
2100,SSP1-2.6,Abrupt,25.097269745950527,11.441128857508957,38.7534106343921
2014,SSP1-2.6,Combustion,0.7193740978906383,0.4438050693772159,0.9949431264040607
2015,SSP1-2.6,Combustion,1.4444637325450844,0.8881747942627569,2.0007526708274117
2016,SSP1-2.6,Combustion,2.1748543417700956,1.3334995447235731,3.016209138816618
2017,SSP1-2.6,Combustion,2.913252262045534,1.7823753304293932,4.044129193661675
2018,SSP1-2.6,Combustion,3.6621028855341833,2.2369966311886538,5.087209139879713
2019,SSP1-2.6,Combustion,4.423261679400027,2.69897353493387,6.147549823866184
2020,SSP1-2.6,Combustion,5.1985533870045115,3.1697855103494623,7.227321263659561
2021,SSP1-2.6,Combustion,5.99158510863891,3.652059871968021,8.3311103453098
2022,SSP1-2.6,Combustion,6.805049838595311,4.147653020559574,9.462446656631048
2023,SSP1-2.6,Combustion,7.638752202073164,4.656295472054013,10.621208932092316
2024,SSP1-2.6,Combustion,8.490844252007246,5.176569582153775,11.805118921860718
2025,SSP1-2.6,Combustion,9.357117198450409,5.705416900959706,13.008817495941111
2026,SSP1-2.6,Combustion,10.23408960455427,6.240396620589695,14.227782588518846
2027,SSP1-2.6,Combustion,11.119155558177113,6.779728041929133,15.458583074425093
2028,SSP1-2.6,Combustion,12.011915476271517,7.32321318386706,16.700617768675972
2029,SSP1-2.6,Combustion,12.911210050663268,7.870052215785073,17.952367885541463
2030,SSP1-2.6,Combustion,13.816852345024966,8.420134923805492,19.21356976624444
2031,SSP1-2.6,Combustion,14.728147889679803,8.972906232615621,20.483389546743986
2032,SSP1-2.6,Combustion,15.645595425006082,9.528699995270795,21.76249085474137
2033,SSP1-2.6,Combustion,16.571511411488856,10.08914461472683,23.053878208250882
2034,SSP1-2.6,Combustion,17.509149015745226,10.656486515809947,24.361811515680508
2035,SSP1-2.6,Combustion,18.456951590001147,11.229453871446033,25.68444930855626
2036,SSP1-2.6,Combustion,19.415001443761746,11.808066689626312,27.02193619789718
2037,SSP1-2.6,Combustion,20.379421440721988,12.38950080220194,28.369342079242035
2038,SSP1-2.6,Combustion,21.3492355699479,12.973144147087883,29.72532699280792
2039,SSP1-2.6,Combustion,22.321026274443796,13.556602417485358,31.085450131402233
2040,SSP1-2.6,Combustion,23.292427924422206,14.138314881974175,32.44654096687024
2041,SSP1-2.6,Combustion,24.261597766739072,14.717133688438238,33.806061845039906
2042,SSP1-2.6,Combustion,25.2286742283803,15.293316941204267,35.16403151555633
2043,SSP1-2.6,Combustion,26.19458277142465,15.867622096883904,36.52154344596539
2044,SSP1-2.6,Combustion,27.16094403571929,16.441251924952162,37.88063614648642
2045,SSP1-2.6,Combustion,28.131383523683176,17.016802678045593,39.24596436932076
2046,SSP1-2.6,Combustion,29.107180929133015,17.59508551763118,40.619276340634855
2047,SSP1-2.6,Combustion,30.08944167337484,18.176810832441387,42.002072514308296
2048,SSP1-2.6,Combustion,31.076264344230523,18.7605267007614,43.39200198769964
2049,SSP1-2.6,Combustion,32.063396640714615,19.34318137066497,44.783611910764265
2050,SSP1-2.6,Combustion,33.04651166741801,19.9217909070285,46.17123242780752
2051,SSP1-2.6,Combustion,34.02442850637956,20.495728100690506,47.55312891206861
2052,SSP1-2.6,Combustion,34.99644160654411,21.064644426352338,48.92823878673588
2053,SSP1-2.6,Combustion,35.96245243067635,21.628589623790944,50.29631523756176
2054,SSP1-2.6,Combustion,36.92403535693202,22.188785045742797,51.65928566812125
2055,SSP1-2.6,Combustion,37.88397515176312,22.74725078643204,53.020699517094194
2056,SSP1-2.6,Combustion,38.84476425540672,23.305717586520956,54.38381092429249
2057,SSP1-2.6,Combustion,39.80541148907731,23.863359056942286,55.74746392121233
2058,SSP1-2.6,Combustion,40.7655526559037,24.419899341405703,57.11120597040169
2059,SSP1-2.6,Combustion,41.724757284431064,24.975035038220668,58.47447953064146
2060,SSP1-2.6,Combustion,42.67999820232525,25.52658884322883,59.83340756142167
2061,SSP1-2.6,Combustion,43.629212763357664,26.07317610244153,61.1852494242738
2062,SSP1-2.6,Combustion,44.57130696771691,26.614132536368228,62.52848139906558
2063,SSP1-2.6,Combustion,45.50654085666784,27.14975798150014,63.863323731835536
2064,SSP1-2.6,Combustion,46.43542712029773,27.680482569452042,65.19037167114342
2065,SSP1-2.6,Combustion,47.35922260577813,28.207246839344457,66.5111983722118
2066,SSP1-2.6,Combustion,48.28116031898292,28.7323851661654,67.82993547180044
2067,SSP1-2.6,Combustion,49.203163035573326,29.257185729662805,69.14914034148384
2068,SSP1-2.6,Combustion,50.12532839811928,29.781603335358703,70.46905346087985
2069,SSP1-2.6,Combustion,51.04546185447673,30.303980526232657,71.78694318272079
2070,SSP1-2.6,Combustion,51.9607878468078,30.822338341255534,73.09923735236006
2071,SSP1-2.6,Combustion,52.8685697357571,31.334799649721084,74.4023398217931
2072,SSP1-2.6,Combustion,53.76813677878113,31.84103280343582,75.69524075412643
2073,SSP1-2.6,Combustion,54.65929945313983,32.34100886225127,76.97759004402839
2074,SSP1-2.6,Combustion,55.54144048804178,32.834347713964554,78.248533262119
2075,SSP1-2.6,Combustion,56.41476593519655,33.32126861927878,79.50826325111431
2076,SSP1-2.6,Combustion,57.27937710367377,33.80188369729647,80.75687051005107
2077,SSP1-2.6,Combustion,58.13652442181607,34.27713310911,81.99591573452214
2078,SSP1-2.6,Combustion,58.98830753121019,34.748530129745006,83.22808493267537
2079,SSP1-2.6,Combustion,59.836300925181206,35.21714913494347,84.45545271541894
2080,SSP1-2.6,Combustion,60.68090968294095,35.68319496735543,85.67862439852647
2081,SSP1-2.6,Combustion,61.52103629514972,36.14581839203404,86.89625419826541
2082,SSP1-2.6,Combustion,62.355655787437755,36.604289401278955,88.10702217359656
2083,SSP1-2.6,Combustion,63.18258008895563,37.05705649625635,89.30810368165491
2084,SSP1-2.6,Combustion,64.00105273640783,37.503675448694004,90.49843002412166
2085,SSP1-2.6,Combustion,64.80903598931782,37.942741597393066,91.67533038124257
2086,SSP1-2.6,Combustion,65.60607743947662,38.37405274333662,92.83810213561662
2087,SSP1-2.6,Combustion,66.39301749647754,38.79831637632161,93.98771861663347
2088,SSP1-2.6,Combustion,67.17072236428854,39.216196540103894,95.12524818847318
2089,SSP1-2.6,Combustion,67.94141305433543,39.62931947540463,96.25350663326623
2090,SSP1-2.6,Combustion,68.70797229595813,40.039733474344885,97.37621111757137
2091,SSP1-2.6,Combustion,69.47177398457721,40.44833018899587,98.49521778015855
2092,SSP1-2.6,Combustion,70.23441992254395,40.856188329102814,99.61265151598508
2093,SSP1-2.6,Combustion,70.99299658040131,41.2610618139605,100.72493134684211
2094,SSP1-2.6,Combustion,71.74421095450516,41.66058750354644,101.82783440546389
2095,SSP1-2.6,Combustion,72.48634039114829,42.05364857730774,102.91903220498884
2096,SSP1-2.6,Combustion,73.21785419892433,42.439262719298256,103.9964456785504
2097,SSP1-2.6,Combustion,73.93917494993379,42.817878631094615,105.06047126877296
2098,SSP1-2.6,Combustion,74.65067178437748,43.189832507202375,106.11151106155259
2099,SSP1-2.6,Combustion,75.35436285573313,43.55664388382881,107.15208182763745
2100,SSP1-2.6,Combustion,76.05305831519446,43.920336668902614,108.1857799614863
2014,SSP1-2.6,Postfire,0.08510067744656293,0,0.17229145574812682
2015,SSP1-2.6,Postfire,0.17616430766157032,0,0.3594236863847099
2016,SSP1-2.6,Postfire,0.2693941730633288,0,0.5510878818851787
2017,SSP1-2.6,Postfire,0.3645187059652724,0,0.7464646060685232
2018,SSP1-2.6,Postfire,0.4616802239320754,0,0.9458611226179717
2019,SSP1-2.6,Postfire,0.5610300822130541,0,1.1496178414736615
2020,SSP1-2.6,Postfire,0.6627160908811631,0,1.3580688095676168
2021,SSP1-2.6,Postfire,0.76696427008521,0,1.5717523477054398
2022,SSP1-2.6,Postfire,0.8740246603610878,0,1.7912688527717406
2023,SSP1-2.6,Postfire,0.984032284704375,0,2.016920030796018
2024,SSP1-2.6,Postfire,1.0969904471779943,0,2.248667829907667
2025,SSP1-2.6,Postfire,1.2127566973908486,0,2.4861037796519327
2026,SSP1-2.6,Postfire,1.331139911799318,0,2.728700225238442
2027,SSP1-2.6,Postfire,1.4519810835264513,0,2.9760195797116458
2028,SSP1-2.6,Postfire,1.5752209704165554,0,3.227886442948826
2029,SSP1-2.6,Postfire,1.700819245300751,0,3.484180420616852
2030,SSP1-2.6,Postfire,1.828757831406821,0,3.744841157510248
2031,SSP1-2.6,Postfire,1.9590194402156724,0,4.009819718692254
2032,SSP1-2.6,Postfire,2.091625235174942,0,4.279167316392849
2033,SSP1-2.6,Postfire,2.226705454157497,0,4.553210432491634
2034,SSP1-2.6,Postfire,2.364488133656243,0,4.832520456628528
2035,SSP1-2.6,Postfire,2.5050306669450495,0,5.117232058543987
2036,SSP1-2.6,Postfire,2.6483454703516176,0,5.4073577464652
2037,SSP1-2.6,Postfire,2.7942971857616845,0,5.702537353971873
2038,SSP1-2.6,Postfire,2.942772389430365,0,6.002464028851861
2039,SSP1-2.6,Postfire,3.0936021831046716,0,6.306698310486602
2040,SSP1-2.6,Postfire,3.246595434277038,0,6.6147461779759436
2041,SSP1-2.6,Postfire,3.401597559928307,0,6.926211958027883
2042,SSP1-2.6,Postfire,3.5585520354086717,0,7.240953751378916
2043,SSP1-2.6,Postfire,3.71748932548145,0,7.559054539340375
2044,SSP1-2.6,Postfire,3.87850030097685,0,7.880750767756911
2045,SSP1-2.6,Postfire,4.041799229792508,0,8.20658780708844
2046,SSP1-2.6,Postfire,4.207555149520589,0,8.536995632211404
2047,SSP1-2.6,Postfire,4.375884122006776,0,8.872262323962104
2048,SSP1-2.6,Postfire,4.546752876209517,0,9.21229727625158
2049,SSP1-2.6,Postfire,4.71992876927413,0,9.556505378426419
2050,SSP1-2.6,Postfire,4.895092665305758,0,9.904074531860825
2051,SSP1-2.6,Postfire,5.072056269527493,0,10.254526061720725
2052,SSP1-2.6,Postfire,5.250725242238102,0,10.607627759252754
2053,SSP1-2.6,Postfire,5.431049877015739,0,10.963264340882304
2054,SSP1-2.6,Postfire,5.613081453929424,0,11.321575861866108
2055,SSP1-2.6,Postfire,5.796983278634958,0,11.682985548307155
2056,SSP1-2.6,Postfire,5.982948545120292,0,12.047991083042973
2057,SSP1-2.6,Postfire,6.171000947084343,0,12.416662086304042
2058,SSP1-2.6,Postfire,6.361107545209652,0,12.788916990546515
2059,SSP1-2.6,Postfire,6.553239823759176,0,13.164684604378564
2060,SSP1-2.6,Postfire,6.747230621675345,0,13.543549948867266
2061,SSP1-2.6,Postfire,6.942885204020936,0,13.925027104867832
2062,SSP1-2.6,Postfire,7.14007020069142,0,14.308787365582923
2063,SSP1-2.6,Postfire,7.3387435323930434,0,14.694734075478953
2064,SSP1-2.6,Postfire,7.538912694331647,0,15.08289882627442
2065,SSP1-2.6,Postfire,7.740635801060679,0.007831683865317629,15.473439918256041
2066,SSP1-2.6,Postfire,7.944101839340227,0.021363316671537014,15.866840362008919
2067,SSP1-2.6,Postfire,8.149494868222515,0.03541677269359589,16.263572963751436
2068,SSP1-2.6,Postfire,8.35688288001727,0.049948811584261676,16.66381694845028
2069,SSP1-2.6,Postfire,8.566164454010476,0.06500378697620235,17.06732512104475
2070,SSP1-2.6,Postfire,8.777137570686468,0.08067855890423736,17.4735965824687
2071,SSP1-2.6,Postfire,8.989568748121137,0.09708442893258784,17.882053067309684
2072,SSP1-2.6,Postfire,9.203325212160689,0.11428345008311425,18.292366974238263
2073,SSP1-2.6,Postfire,9.418347758093612,0.13229492260079212,18.70440059358643
2074,SSP1-2.6,Postfire,9.634568697168724,0.1511375684961198,19.11799982584133
2075,SSP1-2.6,Postfire,9.851954507873533,0.17081282235697692,19.533096193390087
2076,SSP1-2.6,Postfire,10.070486719967128,0.19131173618030672,19.94966170375395
2077,SSP1-2.6,Postfire,10.290209962958269,0.21259623711856612,20.36782368879797
2078,SSP1-2.6,Postfire,10.511249079550236,0.23458904630700417,20.787909112793468
2079,SSP1-2.6,Postfire,10.733732627872747,0.25721047807251907,21.210254777672976
2080,SSP1-2.6,Postfire,10.957721363563484,0.280415761945088,21.63502696518188
2081,SSP1-2.6,Postfire,11.183165465240366,0.304216560122768,22.062114370357964
2082,SSP1-2.6,Postfire,11.409975040792292,0.3286485579415075,22.491301523643074
2083,SSP1-2.6,Postfire,11.63799007526345,0.3537794583627303,22.92220069216417
2084,SSP1-2.6,Postfire,11.867091569211125,0.3796599545665664,23.354523183855683
2085,SSP1-2.6,Postfire,12.09711895661295,0.4063547368249143,23.78788317640099
2086,SSP1-2.6,Postfire,12.327963732219146,0.43390570075919577,24.222021763679095
2087,SSP1-2.6,Postfire,12.55962356763194,0.46229932895034587,24.656947806313532
2088,SSP1-2.6,Postfire,12.792135979633189,0.49149814306045236,25.092773816205927
2089,SSP1-2.6,Postfire,13.025620565926843,0.5214267558426329,25.529814376011053
2090,SSP1-2.6,Postfire,13.26027538566517,0.5519735102670449,25.968577261063295
2091,SSP1-2.6,Postfire,13.496248218207947,0.5830515021451195,26.409444934270773
2092,SSP1-2.6,Postfire,13.733668688000243,0.6145887529713079,26.85274862302918
2093,SSP1-2.6,Postfire,13.97242508002318,0.6466234237299027,27.298226736316458
2094,SSP1-2.6,Postfire,14.212260602486714,0.6792721608951098,27.745249044078317
2095,SSP1-2.6,Postfire,14.452974148764604,0.7126292083134675,28.19331908921574
2096,SSP1-2.6,Postfire,14.694405844071774,0.7467639140040756,28.64204777413947
2097,SSP1-2.6,Postfire,14.93650557256073,0.781691703838737,29.09131944128272
2098,SSP1-2.6,Postfire,15.179270926286591,0.8173981308361729,29.541143721737008
