Year,SSP,Process,mean_GtCO2,ymin_GtCO2,ymax_GtCO2
2014,SSP1-2.6,Gradual,0.693388381543381,0,1.492756184830168
2015,SSP1-2.6,Gradual,1.3959550908252905,0,2.999580822163394
2016,SSP1-2.6,Gradual,2.1001427848072884,0,4.5017561005751094
2017,SSP1-2.6,Gradual,2.807089081526925,0,6.001858345270659
2018,SSP1-2.6,Gradual,3.5199433180993727,0,7.507050658585662
2019,SSP1-2.6,Gradual,4.242330882766379,0,9.025347609214425
2020,SSP1-2.6,Gradual,4.9781223321404715,0,10.565088560373935
2021,SSP1-2.6,Gradual,5.73336094324597,0,12.139489522870608
2022,SSP1-2.6,Gradual,6.513902474335409,0,13.761381556781565
2023,SSP1-2.6,Gradual,7.322122433353206,0,15.435589709225264
2024,SSP1-2.6,Gradual,8.157090196058249,0,17.1593149577848
2025,SSP1-2.6,Gradual,9.01368525704768,0,18.920403421922238
2026,SSP1-2.6,Gradual,9.886006875184734,0,20.70503157938132
2027,SSP1-2.6,Gradual,10.768945770506544,0,22.501480890271495
2028,SSP1-2.6,Gradual,11.66041200581408,0,24.305022731023357
2029,SSP1-2.6,Gradual,12.558392212952654,0,26.111454594868146
2030,SSP1-2.6,Gradual,13.462157227687223,0,27.91943684089486
2031,SSP1-2.6,Gradual,14.370872237060189,0,29.72760457902529
2032,SSP1-2.6,Gradual,15.28525200779886,0,31.53792495932536
2033,SSP1-2.6,Gradual,16.20909637831733,0,33.35911062458818
2034,SSP1-2.6,Gradual,17.14861455093347,0,35.2051077415973
2035,SSP1-2.6,Gradual,18.104123665491464,0,37.076981643598884
2036,SSP1-2.6,Gradual,19.076159132322474,0,38.9756291969968
2037,SSP1-2.6,Gradual,20.059765679681743,0,40.89026005014437
2038,SSP1-2.6,Gradual,21.05208036426207,0,42.81422273055222
2039,SSP1-2.6,Gradual,22.047476396676988,0,44.735411822565645
2040,SSP1-2.6,Gradual,23.04077437235132,0,46.64254932499988
2041,SSP1-2.6,Gradual,24.027905044175025,0,48.527012776789725
2042,SSP1-2.6,Gradual,25.00791701039994,0,50.38709113960242
2043,SSP1-2.6,Gradual,25.98211973253048,0,52.22624602498682
2044,SSP1-2.6,Gradual,26.95365993516412,0,54.05191029646965
2045,SSP1-2.6,Gradual,27.92942791538728,0,55.879404173987
2046,SSP1-2.6,Gradual,28.914095533725195,0.10881226301837188,57.71937880443202
2047,SSP1-2.6,Gradual,29.911184098972296,0.24281502215157502,59.579553175793016
2048,SSP1-2.6,Gradual,30.9192395983468,0.38152357915722845,61.456955617536366
2049,SSP1-2.6,Gradual,31.931357181186115,0.5260189434951279,63.3366954188771
2050,SSP1-2.6,Gradual,32.93902375996124,0.6778395450898316,65.20020797483264
2051,SSP1-2.6,Gradual,33.937983694586556,0.8378153471554768,67.03815204201763
2052,SSP1-2.6,Gradual,34.926135018684775,1.0059283449473568,68.84634169242219
2053,SSP1-2.6,Gradual,35.90282974933375,1.1818115983965711,70.62384790027093
2054,SSP1-2.6,Gradual,36.87001601139639,1.364646366770259,72.37538565602252
2055,SSP1-2.6,Gradual,37.832296937196176,1.5530106860542645,74.11158318833809
2056,SSP1-2.6,Gradual,38.79525202637845,1.745258870420109,75.84524518233678
2057,SSP1-2.6,Gradual,39.75996841166625,1.9407318101434967,77.57920501318901
2058,SSP1-2.6,Gradual,40.72656831166399,2.1394831850560223,79.31365343827196
2059,SSP1-2.6,Gradual,41.69473473025632,2.341573337296545,81.0478961232161
2060,SSP1-2.6,Gradual,42.65986612800395,2.547508173359738,82.77222408264817
2061,SSP1-2.6,Gradual,43.617747010330966,2.758070448509983,84.47742357215195
2062,SSP1-2.6,Gradual,44.56598149726138,2.9735603750211084,86.15840261950166
2063,SSP1-2.6,Gradual,45.50427257039053,3.193877465368132,87.81466767541293
2064,SSP1-2.6,Gradual,46.43325719158495,3.418563969203312,89.4479504139666
2065,SSP1-2.6,Gradual,47.35466251109738,3.6469889161758573,91.0623361060189
2066,SSP1-2.6,Gradual,48.27305902898619,3.878087747966525,92.66803031000586
