Year,SSP,Process,mean_GtCO2e_yr,ymin_GtCO2e_yr,ymax_GtCO2e_yr
2048,SSP1-2.6,Gradual,1.478687515163239,0.11137662405511217,2.8459984062713657
2049,SSP1-2.6,Gradual,1.4915174344620397,0.11748412283584142,2.865550746088238
2050,SSP1-2.6,Gradual,1.49200358590145,0.1258085230562731,2.858198648746627
2051,SSP1-2.6,Gradual,1.4862543058110806,0.13536818338188072,2.8371404282402803
2052,SSP1-2.6,Gradual,1.4773516805603566,0.14505577648652435,2.809647584634189
2053,SSP1-2.6,Gradual,1.4674193645517328,0.15432648734092647,2.780512241762539
2054,SSP1-2.6,Gradual,1.460351452373309,0.1622925301391036,2.7584103746075144
2055,SSP1-2.6,Gradual,1.460184314899879,0.16798002340469576,2.752388606395062
2056,SSP1-2.6,Gradual,1.4684537839974297,0.17138435102680916,2.76552321696805
2057,SSP1-2.6,Gradual,1.47843021338962,0.17416500109797872,2.7826954256812613
2058,SSP1-2.6,Gradual,1.4887063705931478,0.17710858253244388,2.8003041586538515
2059,SSP1-2.6,Gradual,1.4986292590708226,0.18015455162886762,2.8171039665127777
2060,SSP1-2.6,Gradual,1.501593389505064,0.18393455133960068,2.8192522276705274
2061,SSP1-2.6,Gradual,1.4980918088802833,0.18893545985743376,2.8072481579031328
2062,SSP1-2.6,Gradual,1.490841391128524,0.1945807007118885,2.78710208154516
2063,SSP1-2.6,Gradual,1.483074983073573,0.20013931581637978,2.766010650330766
2064,SSP1-2.6,Gradual,1.4762479798211925,0.2050439712219112,2.747451988420474
2065,SSP1-2.6,Gradual,1.4721058744248008,0.2088758132994859,2.7353359355501157
2066,SSP1-2.6,Gradual,1.475235298311393,0.21067762811855784,2.7397929685042284
2067,SSP1-2.6,Gradual,1.4857830576987143,0.21029012847725204,2.7612759869201766
2068,SSP1-2.6,Gradual,1.5001553173955078,0.20927533034944923,2.791035304441566
2069,SSP1-2.6,Gradual,1.5112644902351766,0.20903102201051071,2.8134979584598425
2070,SSP1-2.6,Gradual,1.5150124899004935,0.21018629928316712,2.8198386805178197
2071,SSP1-2.6,Gradual,1.5111993081524449,0.21303244131734167,2.809366174987548
2072,SSP1-2.6,Gradual,1.5042174801577843,0.21681424194377596,2.7916207183717927
2073,SSP1-2.6,Gradual,1.496263686287577,0.22074688165068368,2.7717804909244705
2074,SSP1-2.6,Gradual,1.4875214756121136,0.22455607085706242,2.7504868803671645
2075,SSP1-2.6,Gradual,1.4791911413517256,0.22809575397238846,2.730286528731063
2076,SSP1-2.6,Gradual,1.4714018912780824,0.23114456841894993,2.7116592141372147
2077,SSP1-2.6,Gradual,1.4655060250753558,0.233587875879111,2.6974241742716005
2078,SSP1-2.6,Gradual,1.462916367980201,0.2348247710633966,2.6910079648970058
2079,SSP1-2.6,Gradual,1.4636139328556046,0.2344890807414497,2.6927387849697597
2080,SSP1-2.6,Gradual,1.4663987844557291,0.23302805252793757,2.6997695163835207
2081,SSP1-2.6,Gradual,1.468768327092854,0.23142200092333942,2.7061146532623686
2082,SSP1-2.6,Gradual,1.4698223966202206,0.23032764793740523,2.709317145303036
2083,SSP1-2.6,Gradual,1.467283978756546,0.23036968580310235,2.7041982717099895
2084,SSP1-2.6,Gradual,1.4630229769572007,0.2312638407475167,2.6947821131668848
2085,SSP1-2.6,Gradual,1.456280247860311,0.23234344770447213,2.68021704801615
2086,SSP1-2.6,Gradual,1.448940748152126,0.23340891838008915,2.6644725779241627
2087,SSP1-2.6,Gradual,1.44245853529679,0.23443691530387034,2.65048015528971
2088,SSP1-2.6,Gradual,1.436984023731429,0.2352864518669806,2.6386815955958776
2089,SSP1-2.6,Gradual,1.433830785689707,0.2362275844407027,2.6314339869387116
2090,SSP1-2.6,Gradual,1.4339545528573725,0.236901569038928,2.631007536675817
2091,SSP1-2.6,Gradual,1.436492077011536,0.2363253539723884,2.636658800050683
2092,SSP1-2.6,Gradual,1.442181591975931,0.2342485669539962,2.650114616997866
2093,SSP1-2.6,Gradual,1.445953626310713,0.2313188115037621,2.660588441117664
2094,SSP1-2.6,Gradual,1.4453970546321355,0.22969145544207947,2.6611026538221916
2095,SSP1-2.6,Gradual,1.4421591233204136,0.22910181478045955,2.6552164318603677
2096,SSP1-2.6,Gradual,1.4370085183843917,0.2286216984174172,2.645395338351366
2097,SSP1-2.6,Gradual,1.432047847359786,0.22829725909991794,2.635798435619654
2098,SSP1-2.6,Gradual,1.427449347904384,0.22782592129205503,2.627072774516713
2099,SSP1-2.6,Gradual,1.4247511971137523,0.22762591894676953,2.621876475280735
2100,SSP1-2.6,Gradual,1.4248157781266355,0.22783246947417202,2.621799086779099
2014,SSP1-2.6,Abrupt,0.5900482389079719,0.30796489758478,0.8721315802311638
2015,SSP1-2.6,Abrupt,0.606051817774039,0.3143027943205346,0.8978008412275436
2016,SSP1-2.6,Abrupt,0.6218380064910157,0.3213057061261489,0.9223703068558826
2017,SSP1-2.6,Abrupt,0.6402687259135615,0.3308300782017061,0.9497073736254169
2018,SSP1-2.6,Abrupt,0.6612364601823378,0.3426108519556669,0.9798620684090088
2019,SSP1-2.6,Abrupt,0.6843312128505463,0.3562576428159077,1.012404782885185
2020,SSP1-2.6,Abrupt,0.7096102882065662,0.37172599802624573,1.0474945783868868
2021,SSP1-2.6,Abrupt,0.7389070403781179,0.3902221611414523,1.0875919196147836
2022,SSP1-2.6,Abrupt,0.7714724533559304,0.4111901841053745,1.1317547226064864
2023,SSP1-2.6,Abrupt,0.8046158094384931,0.4327394704023764,1.1764921484746098
2024,SSP1-2.6,Abrupt,0.836642176003043,0.4535771707860422,1.219707181220044
2025,SSP1-2.6,Abrupt,0.8651091675190611,0.4718312774882498,1.2583870575498723
2026,SSP1-2.6,Abrupt,0.8906071286322012,0.48792229278774946,1.2932919644766527
2027,SSP1-2.6,Abrupt,0.9139213621650631,0.5024235237713961,1.3254192005587302
2028,SSP1-2.6,Abrupt,0.9372594809152592,0.5170144482766287,1.3575045135538897
2029,SSP1-2.6,Abrupt,0.9598339204738104,0.5310557433547816,1.3886120975928393
2030,SSP1-2.6,Abrupt,0.982623474490382,0.5452742260400385,1.4199727229407255
2031,SSP1-2.6,Abrupt,1.0050896296640968,0.559163781875198,1.4510154774529955
2032,SSP1-2.6,Abrupt,1.028480674536791,0.5737287338501393,1.4832326152234425
2033,SSP1-2.6,Abrupt,1.054758800128061,0.5905083651150238,1.5190092351410982
2034,SSP1-2.6,Abrupt,1.0850284643837818,0.6103754657343154,1.559681463033248
2035,SSP1-2.6,Abrupt,1.114153422582647,0.629210605697677,1.5990962394676171
2036,SSP1-2.6,Abrupt,1.143871932807731,0.6484607017243771,1.6392831638910847
2037,SSP1-2.6,Abrupt,1.1698251463411065,0.6646142809513319,1.6750360117308811
2038,SSP1-2.6,Abrupt,1.195139463296005,0.6802849967374661,1.709993929854544
2039,SSP1-2.6,Abrupt,1.217073610878026,0.6932400591782609,1.7409071625777912
2040,SSP1-2.6,Abrupt,1.2367072289364238,0.7044118675427953,1.7690025903300524
2041,SSP1-2.6,Abrupt,1.2545613323404676,0.714247545266499,1.7948751194144363
2042,SSP1-2.6,Abrupt,1.272841220556156,0.7245127942486099,1.821169646863702
2043,SSP1-2.6,Abrupt,1.292460644947736,0.7358898798410618,1.8490314100544103
2044,SSP1-2.6,Abrupt,1.3142645071271912,0.7490192810446827,1.8795097332096997
2045,SSP1-2.6,Abrupt,1.340670271791584,0.7658392455133738,1.915501298069794
2046,SSP1-2.6,Abrupt,1.3690154432883843,0.7840730132192811,1.9539578733574876
2047,SSP1-2.6,Abrupt,1.3991520922247838,0.8036395347084889,1.9946646497410785
2048,SSP1-2.6,Abrupt,1.4275111110013892,0.8215990499887141,2.0334231720140643
2049,SSP1-2.6,Abrupt,1.4511952307697031,0.8356307977851267,2.0667596637542793
2050,SSP1-2.6,Abrupt,1.4699715535014146,0.8456446858923657,2.0942984211104636
2051,SSP1-2.6,Abrupt,1.4875634790815102,0.8548245227172377,2.1203024354457827
2052,SSP1-2.6,Abrupt,1.5045068324086273,0.8635510666103273,2.1454625982069273
2053,SSP1-2.6,Abrupt,1.521529935836909,0.8723868603517145,2.1706730113221036
2054,SSP1-2.6,Abrupt,1.5407544438540262,0.8830667058796348,2.1984421818284177
2055,SSP1-2.6,Abrupt,1.563802537690642,0.8968573365398907,2.230747738841393
2056,SSP1-2.6,Abrupt,1.5904058538104586,0.9134488206791465,2.267362886941771
2057,SSP1-2.6,Abrupt,1.6161163884141312,0.9290806836751657,2.3031520931530967
2058,SSP1-2.6,Abrupt,1.641739854995311,0.9445365394145924,2.3389431705760297
2059,SSP1-2.6,Abrupt,1.66718367558974,0.9597631631108771,2.374604188068603
2060,SSP1-2.6,Abrupt,1.688948145470091,0.9718102409252489,2.406086050014933
2061,SSP1-2.6,Abrupt,1.7082166733396578,0.9817751140987322,2.4346582325805834
2062,SSP1-2.6,Abrupt,1.7262182964887889,0.9907209945736328,2.461715598403945
2063,SSP1-2.6,Abrupt,1.7447721962337597,1.0001690920689545,2.4893753003985646
2064,SSP1-2.6,Abrupt,1.764239191172272,1.0103632808673626,2.518115101477181
2065,SSP1-2.6,Abrupt,1.7856968088011451,1.0221855163248974,2.549208101277393
2066,SSP1-2.6,Abrupt,1.8120369807553984,1.038039354673415,2.586034606837382
2067,SSP1-2.6,Abrupt,1.841519861518477,1.0563251070449924,2.626714615991961
2068,SSP1-2.6,Abrupt,1.8715836358196432,1.0748552887519973,2.668311982887289
2069,SSP1-2.6,Abrupt,1.8988791246914705,1.0908407202107664,2.7069175291721743
2070,SSP1-2.6,Abrupt,1.9224592787536976,1.1035837820809329,2.7413347754264623
2071,SSP1-2.6,Abrupt,1.942241259117788,1.1131081530283116,2.771374365207264
2072,SSP1-2.6,Abrupt,1.9612087650248649,1.1220320953752985,2.800385434674431
2073,SSP1-2.6,Abrupt,1.9800529192035272,1.130889449528003,2.8292163888790514
2074,SSP1-2.6,Abrupt,1.998084767911922,1.1390373789612982,2.857132156862546
2075,SSP1-2.6,Abrupt,2.016566379437165,1.1475517734670926,2.885580985407237
2076,SSP1-2.6,Abrupt,2.0353337399328058,1.1562481339099522,2.9144193459556593
2077,SSP1-2.6,Abrupt,2.056247521694419,1.1667213709727684,2.94577367241607
2078,SSP1-2.6,Abrupt,2.0807667322902352,1.180160366300966,2.981373098279504
2079,SSP1-2.6,Abrupt,2.1081513276776063,1.1958439871273168,3.0204586682278958
2080,SSP1-2.6,Abrupt,2.1365513888156067,1.2121550328565238,3.0609477447746896
2081,SSP1-2.6,Abrupt,2.1634755190645483,1.2270053642638001,3.0999456738652964
2082,SSP1-2.6,Abrupt,2.188994317718907,1.2405500998032162,3.1374385356345975
2083,SSP1-2.6,Abrupt,2.211042602533327,1.2510441674259263,3.171041037640728
2084,SSP1-2.6,Abrupt,2.231975865767401,1.2606133263768018,3.2033384051580005
2085,SSP1-2.6,Abrupt,2.249465656603596,1.2672288571861712,3.2317024560210212
2086,SSP1-2.6,Abrupt,2.2661991739973715,1.2732779118526896,3.2591204361420534
2087,SSP1-2.6,Abrupt,2.2844757600969947,1.2806923564078876,3.288259163786102
2088,SSP1-2.6,Abrupt,2.3043951763156105,1.2894611558361768,3.319329196795044
2089,SSP1-2.6,Abrupt,2.328527793405848,1.3017527355041707,3.355302851307525
2090,SSP1-2.6,Abrupt,2.358268300242472,1.3186853858295973,3.397851214655347
2091,SSP1-2.6,Abrupt,2.390964059854304,1.3378760471723024,3.444052072536306
2092,SSP1-2.6,Abrupt,2.4271701777438466,1.3598145062206726,3.4945258492670206
2093,SSP1-2.6,Abrupt,2.458246932270703,1.3769811460359898,3.539512718505416
2094,SSP1-2.6,Abrupt,2.483268378620482,1.3888333001513675,3.577703457089596
2095,SSP1-2.6,Abrupt,2.5051022689340106,1.3980343341932508,3.6121702036747703
2096,SSP1-2.6,Abrupt,2.523984248495879,1.4047874048353761,3.643181092156382
2097,SSP1-2.6,Abrupt,2.5437619692609346,1.4124359995231675,3.6750879389987015
2098,SSP1-2.6,Abrupt,2.564337412590981,1.42076315553159,3.7079116696503718
2099,SSP1-2.6,Abrupt,2.5891893079732187,1.4327441159679506,3.745634499978487
2100,SSP1-2.6,Abrupt,2.6201493616524294,1.4498163129337163,3.7904824103711423
2014,SSP1-2.6,Combustion,0.8165580927195115,0.5031708121276565,1.1299453733113665
2015,SSP1-2.6,Combustion,0.8244123902697977,0.5044827554221889,1.1443420251174066
2016,SSP1-2.6,Combustion,0.8318359457867981,0.5062885844065431,1.157383307167053
2017,SSP1-2.6,Combustion,0.8423872217047772,0.5111326731342065,1.1736417702753479
2018,SSP1-2.6,Combustion,0.8557844020541492,0.5185334274095065,1.1930353766987918
2019,SSP1-2.6,Combustion,0.8713675916201659,0.5277989572654418,1.21493622597489
2020,SSP1-2.6,Combustion,0.8891138666234835,0.5387637501420427,1.2394639831049243
2021,SSP1-2.6,Combustion,0.9110832434710044,0.5527500494126611,1.2694164375293477
2022,SSP1-2.6,Combustion,0.936247622045851,0.5688782284886547,1.3036170156030473
2023,SSP1-2.6,Combustion,0.96129562983656,0.58471855394446,1.33787270572866
2024,SSP1-2.6,Combustion,0.9843193109993824,0.5989588878134213,1.3696797341853435
2025,SSP1-2.6,Combustion,1.002576606026635,0.6097082267174972,1.3954449853357729
2026,SSP1-2.6,Combustion,1.016885346767403,0.61766717326154,1.4161035202732661
2027,SSP1-2.6,Combustion,1.0282409566670283,0.6235904922271487,1.432891421106908
2028,SSP1-2.6,Combustion,1.0391953303945969,0.6293151499913359,1.449075510797858
2029,SSP1-2.6,Combustion,1.048860718657598,0.6341329482648161,1.4635884890503799
2030,SSP1-2.6,Combustion,1.0583664787049178,0.6388530588289476,1.477879898580888
2031,SSP1-2.6,Combustion,1.0671179958745065,0.643028960350154,1.491207031398859
2032,SSP1-2.6,Combustion,1.0765111668857084,0.6476839021735281,1.5053384315978886
2033,SSP1-2.6,Combustion,1.0886878552780932,0.654328373641053,1.5230473369151334
2034,SSP1-2.6,Combustion,1.104769503354786,0.6636805298846782,1.5458584768248937
2035,SSP1-2.6,Combustion,1.119103180155429,0.6715676971043845,1.5666386632064735
2036,SSP1-2.6,Combustion,1.133617957598156,0.6795326723819874,1.5877032428143245
2037,SSP1-2.6,Combustion,1.1436212251052336,0.6841825549335885,1.6030598952768786
2038,SSP1-2.6,Combustion,1.1525320188885222,0.6881542391586823,1.616909798618362
2039,SSP1-2.6,Combustion,1.1574360622560105,0.689296859454523,1.625575265057498
2040,SSP1-2.6,Combustion,1.1595624693477435,0.6885930664586388,1.6305318722368483
2041,SSP1-2.6,Combustion,1.159518456369082,0.6865511087355665,1.6324858040025974
2042,SSP1-2.6,Combustion,1.159664594619716,0.6848633968552099,1.6344657923842218
2043,SSP1-2.6,Combustion,1.1609482989884956,0.6841238353316097,1.6377727626453815
2044,SSP1-2.6,Combustion,1.1642150686947828,0.6848678967372824,1.6435622406522832
2045,SSP1-2.6,Combustion,1.1718998348365288,0.6887988599910158,1.6550008096820419
2046,SSP1-2.6,Combustion,1.181195459367174,0.6937285636460471,1.668662355088301
2047,SSP1-2.6,Combustion,1.1919027992148068,0.69954537572855,1.6842602227010635
2048,SSP1-2.6,Combustion,1.2003757982142511,0.7036014197129786,1.6971501767155237
2049,SSP1-2.6,Combustion,1.2037326241001114,0.7039268963651475,1.7035383518350753
2050,SSP1-2.6,Combustion,1.2018440337418352,0.7005898559561679,1.7030982115275026
2051,SSP1-2.6,Combustion,1.1985258532816545,0.696510299733844,1.700541406829465
2052,SSP1-2.6,Combustion,1.1943505687338336,0.6920175909443363,1.6966835465233308
2053,SSP1-2.6,Combustion,1.1900591430148848,0.6875970458559916,1.692521240173778
2054,SSP1-2.6,Combustion,1.187716287402663,0.6847149502527771,1.690717624552549
2055,SSP1-2.6,Combustion,1.1888360650879812,0.6843802161441875,1.693291914031775
2056,SSP1-2.6,Combustion,1.1930834227301843,0.6862265798421743,1.6999402656181943
2057,SSP1-2.6,Combustion,1.1961466895486217,0.6870255681690758,1.7052678109281676
2058,SSP1-2.6,Combustion,1.1987996325021208,0.6874846807416262,1.7101145842626155
2059,SSP1-2.6,Combustion,1.200955892121509,0.6875709223313998,1.7143408619116185
2060,SSP1-2.6,Combustion,1.1993518470243674,0.6848937811153727,1.7138099129333622
2061,SSP1-2.6,Combustion,1.1951700663087157,0.6804591159855072,1.709881016631924
2062,SSP1-2.6,Combustion,1.189611156486343,0.6751764108320004,1.7040459021406855
2063,SSP1-2.6,Combustion,1.1843770428598082,0.6702797069712396,1.6984743787483767
2064,SSP1-2.6,Combustion,1.1797910878795104,0.6659338920881438,1.693648283670877
2065,SSP1-2.6,Combustion,1.176806436333398,0.6627989772203241,1.690813895446472
2066,SSP1-2.6,Combustion,1.1779613351601663,0.6626984707276626,1.69322419959267
2067,SSP1-2.6,Combustion,1.1816147576748492,0.6642748903698095,1.698954624979889
2068,SSP1-2.6,Combustion,1.185443300465198,0.6657965501323834,1.7050900507980127
2069,SSP1-2.6,Combustion,1.1864950066536972,0.665154138250921,1.7078358750564735
2070,SSP1-2.6,Combustion,1.183992089746683,0.6619233839503129,1.706060795543053
2071,SSP1-2.6,Combustion,1.17795158504007,0.656210247133702,1.6996929229464377
2072,SSP1-2.6,Combustion,1.1710277324242775,0.6500453391586495,1.6920101256899054
2073,SSP1-2.6,Combustion,1.163840414986381,0.6438238481495056,1.6838569818232565
2074,SSP1-2.6,Combustion,1.1558247364187495,0.63707104841785,1.674578424419649
2075,SSP1-2.6,Combustion,1.1480553405856964,0.6305899876566797,1.665520693514713
2076,SSP1-2.6,Combustion,1.1403952097283574,0.62423270072617,1.6565577187305447
2077,SSP1-2.6,Combustion,1.134365556638871,0.61912328125214,1.6496078320256022
2078,SSP1-2.6,Combustion,1.131108998527048,0.6160485557211561,1.6461694413329397
2079,SSP1-2.6,Combustion,1.1299549753425815,0.6144216385214323,1.6454883121637307
2080,SSP1-2.6,Combustion,1.129361383465617,0.6130638353811947,1.6456589315500394
2081,SSP1-2.6,Combustion,1.1273184393118192,0.6105372173255027,1.6440996612981356
2082,SSP1-2.6,Combustion,1.1239081063012744,0.6070032677743721,1.6408129448281765
2083,SSP1-2.6,Combustion,1.1175445960625454,0.6013123614075582,1.6337768307175327
2084,SSP1-2.6,Combustion,1.1101360161561176,0.5949857213102109,1.6252863110020241
2085,SSP1-2.6,Combustion,1.0999269625632777,0.5866660839609303,1.613187841165625
2086,SSP1-2.6,Combustion,1.0890509409695115,0.5780241310273004,1.6000777509117226
2087,SSP1-2.6,Combustion,1.079272124835539,0.5703414996471258,1.5882027500239522
2088,SSP1-2.6,Combustion,1.0706374572167086,0.5635592566865396,1.5777156577468774
2089,SSP1-2.6,Combustion,1.065030670920308,0.5590566719845754,1.5710046698560403
2090,SSP1-2.6,Combustion,1.0634036995910636,0.5574448632112903,1.569362535970837
2091,SSP1-2.6,Combustion,1.0637010449385578,0.557088037803832,1.5703140520732837
2092,SSP1-2.6,Combustion,1.066265012238911,0.5582771967934432,1.5742528276843788
2093,SSP1-2.6,Combustion,1.0647858486542474,0.5562311426765821,1.5733405546319128
2094,SSP1-2.6,Combustion,1.0586816821956144,0.5507555542896715,1.5666078101015573
2095,SSP1-2.6,Combustion,1.050116303572646,0.5436269186446487,1.5566056885006432
2096,SSP1-2.6,Combustion,1.0393319560114556,0.5350213716744072,1.543642540348504
2097,SSP1-2.6,Combustion,1.029085841005955,0.5270329888219615,1.5311386931899484
2098,SSP1-2.6,Combustion,1.0193068146303697,0.5194958336515372,1.5191177956092021
2099,SSP1-2.6,Combustion,1.0123718618289466,0.514175073323528,1.5105686503343652
2100,SSP1-2.6,Combustion,1.009458729258926,0.5118403799582569,1.5070770785595953
2014,SSP1-2.6,Postfire,0.19313022745826913,0.06482526549363951,0.3214351894228987
2015,SSP1-2.6,Postfire,0.2043296494435889,0.06417846792467763,0.34448083096250015
2016,SSP1-2.6,Postfire,0.21081949066416947,0.06661444960922747,0.35502453171911147
2017,SSP1-2.6,Postfire,0.21708586571870775,0.06946084558872398,0.3647108858486915
2018,SSP1-2.6,Postfire,0.2236700696022553,0.07239483070187319,0.3749453085026374
2019,SSP1-2.6,Postfire,0.2305964456371414,0.07540448756801407,0.38578840370626877
2020,SSP1-2.6,Postfire,0.2378727144028104,0.07849352614885496,0.39725190265676585
2021,SSP1-2.6,Postfire,0.2456169194007196,0.08161354432055404,0.4096202944808852
2022,SSP1-2.6,Postfire,0.2538801339169249,0.08475843889878545,0.42300182893506433
2023,SSP1-2.6,Postfire,0.26252585923155664,0.08801289115107189,0.43703882731204136
2024,SSP1-2.6,Postfire,0.2713856166768146,0.09146459869321047,0.45130663466041876
2025,SSP1-2.6,Postfire,0.28026244638184494,0.09519999357964262,0.4653248991840473
2026,SSP1-2.6,Postfire,0.28908095699892855,0.09923581218066652,0.4789261018171906
2027,SSP1-2.6,Postfire,0.29787435959087455,0.1035362440388573,0.4922124751428918
2028,SSP1-2.6,Postfire,0.3067717545708176,0.10802614754367265,0.5055173615979626
2029,SSP1-2.6,Postfire,0.3157990982860455,0.112686464163931,0.51891173240816
2030,SSP1-2.6,Postfire,0.32498724915405575,0.11749846512190953,0.532476033186202
2031,SSP1-2.6,Postfire,0.33434027928921867,0.12244875335468236,0.5462318052237549
2032,SSP1-2.6,Postfire,0.3439139444512453,0.12751055823996119,0.5603173306625294
2033,SSP1-2.6,Postfire,0.3538668349460215,0.1326256241072958,0.5751080457847472
2034,SSP1-2.6,Postfire,0.3643512703550192,0.13775012560325758,0.5909524151067808
2035,SSP1-2.6,Postfire,0.37514808036869335,0.14300390507041952,0.6072922556669672
2036,SSP1-2.6,Postfire,0.38619889501294075,0.14842374971772876,0.6239740403081527
2037,SSP1-2.6,Postfire,0.39729843674071863,0.15410016480870914,0.6404967086727281
2038,SSP1-2.6,Postfire,0.4084684732771988,0.16001406794520814,0.6569228786091895
2039,SSP1-2.6,Postfire,0.4196253389370685,0.16618806279285236,0.6730626150812846
2040,SSP1-2.6,Postfire,0.4307254893043501,0.17262321909290734,0.6888277595157929
2041,SSP1-2.6,Postfire,0.441810804705899,0.17928360736882787,0.7043380020429701
2042,SSP1-2.6,Postfire,0.4530154729803068,0.18609821342566668,0.7199327325349469
2043,SSP1-2.6,Postfire,0.4644672849968954,0.19301149224767689,0.7359230777461139
2044,SSP1-2.6,Postfire,0.4762625853892485,0.19999246064117998,0.7525327101373169
2045,SSP1-2.6,Postfire,0.48859610267333786,0.20698183938983994,0.7702103659568358
2046,SSP1-2.6,Postfire,0.5014260035603367,0.21402433729047599,0.7888276698301975
2047,SSP1-2.6,Postfire,0.514691901854342,0.22116945813761968,0.8082143455710643
2048,SSP1-2.6,Postfire,0.5281859977668004,0.2285150465157012,0.8278569490178996
2049,SSP1-2.6,Postfire,0.5416090611397274,0.23617518099927598,0.8470429412801788
2050,SSP1-2.6,Postfire,0.5548121807272841,0.2441840992988213,0.8654402621557469
2051,SSP1-2.6,Postfire,0.5679676980085584,0.2524453435407843,0.8834900524763325
2052,SSP1-2.6,Postfire,0.5812075617390394,0.2608885180557368,0.9015266054223421
2053,SSP1-2.6,Postfire,0.5945963220065124,0.26947936254050014,0.9197132814725246
2054,SSP1-2.6,Postfire,0.6082897116453122,0.2781600746901134,0.938419348600511
2055,SSP1-2.6,Postfire,0.622471895843421,0.28687576225117484,0.9580680294356672
2056,SSP1-2.6,Postfire,0.637211709717542,0.2956257862669528,0.9787976331681313
2057,SSP1-2.6,Postfire,0.6522705302611327,0.3045209115277717,1.0000201489944938
2058,SSP1-2.6,Postfire,0.6675649063013582,0.31360231315654946,1.021527499446167
2059,SSP1-2.6,Postfire,0.6831038724652094,0.32287169290113793,1.043336052029281
2060,SSP1-2.6,Postfire,0.698671309329736,0.33240064859453916,1.0649419700649327
2061,SSP1-2.6,Postfire,0.7142089224159555,0.3421927435256969,1.086225101306214
2062,SSP1-2.6,Postfire,0.7297997342756777,0.3522025438545442,1.1073969246968112
2063,SSP1-2.6,Postfire,0.7455819115514031,0.3623726838823433,1.1287911392204628
2064,SSP1-2.6,Postfire,0.7616376370683605,0.37267437029289013,1.150600903843831
2065,SSP1-2.6,Postfire,0.7780556848693724,0.38308536730266857,1.1730260024360761
2066,SSP1-2.6,Postfire,0.7950619759223142,0.3935506202377853,1.1965733316068432
2067,SSP1-2.6,Postfire,0.8126777006279337,0.4040910222796417,1.2212643789762256
2068,SSP1-2.6,Postfire,0.8307382394616917,0.4147835260955974,1.246692952827786
2069,SSP1-2.6,Postfire,0.8489761897426105,0.4257229449258255,1.2722294345593954
2070,SSP1-2.6,Postfire,0.8672163420405251,0.4369550320470446,1.2974776520340057
2071,SSP1-2.6,Postfire,0.8853872474043548,0.4484816272880177,1.322292867520692
2072,SSP1-2.6,Postfire,0.9036355659303557,0.4602392427334131,1.3470318891272983
2073,SSP1-2.6,Postfire,0.9220774261212116,0.4721813325061089,1.3719735197363143
2074,SSP1-2.6,Postfire,0.9406983056730452,0.48430498975205594,1.3970916215940345
