Year,SSP,Process,mean_GtCO2e_yr,ymin_GtCO2e_yr,ymax_GtCO2e_yr
2014,SSP1-2.6,Gradual,0.8908103650410337,0,1.937085968682918
2015,SSP1-2.6,Gradual,0.9056227630198702,0,1.9628002403142388
2016,SSP1-2.6,Gradual,0.9108467257345104,0,1.9646135262136313
2017,SSP1-2.6,Gradual,0.917595717959203,0,1.9698002548573732
2018,SSP1-2.6,Gradual,0.928462706267748,0,1.9842251582513077
2019,SSP1-2.6,Gradual,0.9440853140215316,0,2.0089783978538174
2020,SSP1-2.6,Gradual,0.9648350803565372,0,2.0446900013407356
2021,SSP1-2.6,Gradual,0.993649274419826,0,2.098186195935657
2022,SSP1-2.6,Gradual,1.0303845298730174,0,2.169280991624788
2023,SSP1-2.6,Gradual,1.0705333609491503,0,2.247539978514253
2024,SSP1-2.6,Gradual,1.1097743425323765,0,2.322890676532541
2025,SSP1-2.6,Gradual,1.142542646786082,0,2.382757500750853
2026,SSP1-2.6,Gradual,1.167733824286386,0,2.4247320301969624
2027,SSP1-2.6,Gradual,1.186320550923713,0,2.4514444336651637
2028,SSP1-2.6,Gradual,1.2022795222388565,0,2.472164693782058
2029,SSP1-2.6,Gradual,1.2156784135487435,0,2.487506562174585
2030,SSP1-2.6,Gradual,1.2282249422218012,0,2.5012922816234546
2031,SSP1-2.6,Gradual,1.2397713719550332,0,2.5133400719625874
2032,SSP1-2.6,Gradual,1.2524206341208572,0,2.528178339636241
2033,SSP1-2.6,Gradual,1.270399870623106,0,2.5551194959133627
2034,SSP1-2.6,Gradual,1.2970694864095127,0,2.6015311866347828
2035,SSP1-2.6,Gradual,1.3244194197162436,0,2.6499119381381266
2036,SSP1-2.6,Gradual,1.3527776911581062,0.0054177970688789046,2.7001375852473335
2037,SSP1-2.6,Gradual,1.3745227371758235,0.01314764142893754,2.7358978329227095
2038,SSP1-2.6,Gradual,1.3925040105050936,0.02214033535758375,2.7628676856526035
2039,SSP1-2.6,Gradual,1.4027904236533817,0.032375721168573124,2.7732051261381905
2040,SSP1-2.6,Gradual,1.405919124197586,0.043934185263268866,2.767904063131903
2041,SSP1-2.6,Gradual,1.403355340499965,0.0562857249645512,2.7504249560353786
2042,SSP1-2.6,Gradual,1.3994498175762629,0.06843582659787839,2.7304638085546475
2043,SSP1-2.6,Gradual,1.397402754221533,0.07945847746724666,2.7153470309758196
2044,SSP1-2.6,Gradual,1.3998470806990275,0.08895407521920329,2.710740086178852
2045,SSP1-2.6,Gradual,1.4122231437846855,0.09638419426394429,2.728062093305427
2046,SSP1-2.6,Gradual,1.4314699611723138,0.10205549365826938,2.7608844286863583
2047,SSP1-2.6,Gradual,1.4560111512705,0.10671853824642596,2.805303764294574
