Year,SSP,Process,mean_GtCO2_yr,ymin_GtCO2_yr,ymax_GtCO2_yr
2014,SSP1-2.6,Gradual,0.693388381543381,0,1.492756184830168
2015,SSP1-2.6,Gradual,0.7025667111011704,0,1.5069331702895
2016,SSP1-2.6,Gradual,0.704187690969793,0,1.5025376230105119
2017,SSP1-2.6,Gradual,0.7069463012971349,0,1.5007145786101699
2018,SSP1-2.6,Gradual,0.7128542397105523,0,1.5059813778290083
2019,SSP1-2.6,Gradual,0.7223875575536888,0,1.5191588808043557
2020,SSP1-2.6,Gradual,0.735791449684483,0,1.5406280733601418
2021,SSP1-2.6,Gradual,0.7552386234388954,0,1.575335210129895
2022,SSP1-2.6,Gradual,0.7805415127872227,0,1.622959673987463
2023,SSP1-2.6,Gradual,0.8082199597540782,0,1.6755351557696587
2024,SSP1-2.6,Gradual,0.8349677727432139,0,1.725439618052817
2025,SSP1-2.6,Gradual,0.8565950325162114,0,1.763307877742323
2026,SSP1-2.6,Gradual,0.872321609746865,0,1.7874612539921797
2027,SSP1-2.6,Gradual,0.8829389183893096,0,1.7999936017494964
2028,SSP1-2.6,Gradual,0.8914662435172938,0,1.8078610551657741
2029,SSP1-2.6,Gradual,0.8979802218830955,0,1.8115805891107946
2030,SSP1-2.6,Gradual,0.9037650111039406,0,1.8139913188667864
2031,SSP1-2.6,Gradual,0.9087150117751024,0.0024881578774585966,1.814941865672746
2032,SSP1-2.6,Gradual,0.9143797883558368,0.01103819799679795,1.8177213787148756
2033,SSP1-2.6,Gradual,0.9238443449839012,0.01864743502329924,1.8290412549445032
2034,SSP1-2.6,Gradual,0.9395182186175454,0.024916360836741203,1.8541200763983494
2035,SSP1-2.6,Gradual,0.9555090841625832,0.030760851510345022,1.8802573168148213
2036,SSP1-2.6,Gradual,0.9720355076150122,0.03676294210450559,1.907308073125519
2037,SSP1-2.6,Gradual,0.9836065410672344,0.04351269673871083,1.9237003853957582
2038,SSP1-2.6,Gradual,0.9923146843678098,0.05108793473293938,1.9335414340026802
2039,SSP1-2.6,Gradual,0.9953959892937928,0.059364890759875166,1.9314270878277104
2040,SSP1-2.6,Gradual,0.9932979900468998,0.06839828451001861,1.918197695583781
2041,SSP1-2.6,Gradual,0.9871307014048252,0.0778263118471284,1.8964350909625218
2042,SSP1-2.6,Gradual,0.9800119579539968,0.08704417936832776,1.8729797365396657
2043,SSP1-2.6,Gradual,0.974202704801386,0.09547903684652803,1.8529263727562442
2044,SSP1-2.6,Gradual,0.9715401867844194,0.10291695574949788,1.840163417819341
2045,SSP1-2.6,Gradual,0.9757679284330192,0.10913799413762726,1.842397862728411
2046,SSP1-2.6,Gradual,0.9846677555929576,0.1142896648009788,1.8550458463849364
2047,SSP1-2.6,Gradual,0.9970884995498044,0.11886057011364148,1.8753164289859674
2048,SSP1-2.6,Gradual,1.008055502849461,0.12335865774838761,1.8927523479505346
2049,SSP1-2.6,Gradual,1.0121175674742364,0.12856743851318286,1.8956676964352899
2050,SSP1-2.6,Gradual,1.0076666216286012,0.13494579084590774,1.8803874524112947
2051,SSP1-2.6,Gradual,0.9989598954240834,0.1419750852228766,1.8559447056252902
2052,SSP1-2.6,Gradual,0.9881513676332024,0.14896479613833435,1.8273379391280704
2053,SSP1-2.6,Gradual,0.9766947107222808,0.15560779647010137,1.7977816249744603
2054,SSP1-2.6,Gradual,0.9671863140392606,0.16143072791971225,1.772941900158809
2055,SSP1-2.6,Gradual,0.9622808861316362,0.16592152164813712,1.7586402506151353
2056,SSP1-2.6,Gradual,0.962955089757198,0.1690866159487847,1.7568235635656113
2057,SSP1-2.6,Gradual,0.9647163881222982,0.1718523938784614,1.7575803823661351
2058,SSP1-2.6,Gradual,0.9665998236099126,0.17471957763172508,1.7584800695881002
2059,SSP1-2.6,Gradual,0.968166406136,0.17763644900520847,1.7586963632667916
2060,SSP1-2.6,Gradual,0.9651314034927628,0.18079120296591467,1.749471604019611
2061,SSP1-2.6,Gradual,0.957880859616463,0.18452701271126837,1.7312347065216576
2062,SSP1-2.6,Gradual,0.9482345194790016,0.18854982430706269,1.7079192146509405
2063,SSP1-2.6,Gradual,0.938291053108379,0.1924798394457098,1.6841022667710481
2064,SSP1-2.6,Gradual,0.9289846020690018,0.19598309172326023,1.6619861124147435
2065,SSP1-2.6,Gradual,0.9214053800210992,0.19884388362383631,1.6439668764183621
2066,SSP1-2.6,Gradual,0.9183965229254514,0.2006211156600065,1.6361719301908964
2067,SSP1-2.6,Gradual,0.9199841225100835,0.20129055246052496,1.638677692559642
2068,SSP1-2.6,Gradual,0.9239006033450629,0.20168554812207617,1.6461156585680494
2069,SSP1-2.6,Gradual,0.925703694074858,0.20241335899796997,1.648994029151746
2070,SSP1-2.6,Gradual,0.9228713610635972,0.20377058703373618,1.6419721350934582
2071,SSP1-2.6,Gradual,0.915372242656976,0.20592795098341543,1.6248165343305367
2072,SSP1-2.6,Gradual,0.9059632215233429,0.20853392020474548,1.6033925228419403
2073,SSP1-2.6,Gradual,0.8960096400523636,0.21116443846883537,1.5808548416358918
2074,SSP1-2.6,Gradual,0.8856449686181862,0.2136222119347817,1.5576677253015907
2075,SSP1-2.6,Gradual,0.8755837153154532,0.21588409408759768,1.5352833365433087
2076,SSP1-2.6,Gradual,0.865898228508452,0.21781948587576017,1.513976971141144
2077,SSP1-2.6,Gradual,0.8573561758437931,0.21947926894286218,1.495233082744724
2078,SSP1-2.6,Gradual,0.8507483648729637,0.22060333774109153,1.4808933920048357
2079,SSP1-2.6,Gradual,0.8460322997960998,0.22097544712204353,1.4710891524701561
2080,SSP1-2.6,Gradual,0.8425327164977515,0.22066402589127188,1.4644014071042313
2081,SSP1-2.6,Gradual,0.8387997483894984,0.22014723706940909,1.4574522597095878
2082,SSP1-2.6,Gradual,0.834305683862703,0.21984268457166645,1.4487686831537396
2083,SSP1-2.6,Gradual,0.827772984471042,0.22001148221955258,1.4355344867225313
2084,SSP1-2.6,Gradual,0.8202882679642476,0.22057139093647216,1.420005144992023
2085,SSP1-2.6,Gradual,0.8114751738013671,0.22099874899429794,1.4019515986084363
2086,SSP1-2.6,Gradual,0.8023876463958975,0.22131832578711508,1.3834569670046801
2087,SSP1-2.6,Gradual,0.7938164445864656,0.22164094481758845,1.3659919443553428
2088,SSP1-2.6,Gradual,0.7858304831746508,0.22191219056610878,1.3497487757831927
2089,SSP1-2.6,Gradual,0.7791128144711638,0.22242404860279197,1.3358015803395356
2090,SSP1-2.6,Gradual,0.7741425155624079,0.2230777199623042,1.3252073111625116
2091,SSP1-2.6,Gradual,0.7704326223641116,0.2232527357484443,1.3176125089797788
2092,SSP1-2.6,Gradual,0.7683920447920455,0.22272462631188472,1.3140594632722062
2093,SSP1-2.6,Gradual,0.765322714797307,0.22150544911420555,1.3091399804804085
2094,SSP1-2.6,Gradual,0.7599782246288971,0.22065772722475674,1.2992987220330374
2095,SSP1-2.6,Gradual,0.7532537752459186,0.2201700664314068,1.2863374840604305
2096,SSP1-2.6,Gradual,0.745577042622243,0.2195705835673668,1.271583501677119
2097,SSP1-2.6,Gradual,0.7380331972162016,0.21905601704054467,1.2570103773918586
2098,SSP1-2.6,Gradual,0.7307081926214866,0.2184740668752908,1.2429423183676822
2099,SSP1-2.6,Gradual,0.7243628387951105,0.21819183496105188,1.2305338426291692
2100,SSP1-2.6,Gradual,0.7194017733668236,0.21836407980205008,1.2204394669315972
2014,SSP1-2.6,Abrupt,0.15916345857268502,0.0627552190902087,0.25557169805516133
2015,SSP1-2.6,Abrupt,0.16268174754815326,0.0635159339256427,0.2618475611706638
2016,SSP1-2.6,Abrupt,0.16600717873815934,0.06445042556995238,0.2675639319063663
2017,SSP1-2.6,Abrupt,0.17009122781413644,0.06606692553458864,0.2741155300936842
2018,SSP1-2.6,Abrupt,0.1748925308584196,0.06827733047089686,0.28150773124594236
2019,SSP1-2.6,Abrupt,0.1802697474868564,0.07096527239781429,0.2895742225758985
2020,SSP1-2.6,Abrupt,0.18623235054824835,0.07410907734236459,0.2983556237541321
2021,SSP1-2.6,Abrupt,0.1933759030667695,0.07805628935130746,0.3086955167822315
2022,SSP1-2.6,Abrupt,0.2014434310448398,0.08265245780606345,0.32023440428361616
2023,SSP1-2.6,Abrupt,0.20956501989929843,0.08738786512202439,0.33174217467657247
2024,SSP1-2.6,Abrupt,0.21718269052061584,0.0918738040340098,0.3424915770072219
2025,SSP1-2.6,Abrupt,0.22352374594073493,0.09558012870385091,0.35146736317761895
2026,SSP1-2.6,Abrupt,0.2287878215025753,0.09861522658648286,0.3589604164186677
2027,SSP1-2.6,Abrupt,0.23323643476764572,0.10113768277746607,0.3653351867578254
2028,SSP1-2.6,Abrupt,0.2375796471658234,0.10363786290178456,0.3715214314298622
2029,SSP1-2.6,Abrupt,0.24157426245182811,0.10593403947957761,0.37721448542407865
2030,SSP1-2.6,Abrupt,0.2455239235200488,0.10822389404965704,0.38282395299044053
2031,SSP1-2.6,Abrupt,0.24926707620014932,0.11036983908676987,0.38816431331352874
2032,SSP1-2.6,Abrupt,0.2531823939786826,0.11264796771956412,0.3937168202378011
2033,SSP1-2.6,Abrupt,0.2578515511075986,0.11547523056391207,0.40022787165128515
2034,SSP1-2.6,Abrupt,0.2635916896015441,0.11909736938526139,0.40808600981782683
2035,SSP1-2.6,Abrupt,0.26885401224549216,0.12237061527077223,0.4153374092202121
2036,SSP1-2.6,Abrupt,0.2741507020536808,0.12568103753129464,0.42262036657606694
2037,SSP1-2.6,Abrupt,0.2782052023752736,0.12806982231115996,0.4283405824393872
2038,SSP1-2.6,Abrupt,0.2819494043161741,0.13025895333816845,0.43363985529417975
2039,SSP1-2.6,Abrupt,0.28460844632467247,0.13166376574265434,0.43755312690669057
2040,SSP1-2.6,Abrupt,0.2865134874695957,0.13254475080744885,0.44048222413174254
2041,SSP1-2.6,Abrupt,0.28783067649504307,0.13303332252156128,0.44262803046852484
2042,SSP1-2.6,Abrupt,0.2891876540387762,0.13359482314039822,0.4447804849371542
2043,SSP1-2.6,Abrupt,0.290834528711582,0.13440248420965611,0.4472665732135079
2044,SSP1-2.6,Abrupt,0.29299257360495284,0.13561190009845042,0.45037324711145527
2045,SSP1-2.6,Abrupt,0.296298944105184,0.13770027397364903,0.45489761423671893
2046,SSP1-2.6,Abrupt,0.30000828854887845,0.1400745611391832,0.4599420159585737
2047,SSP1-2.6,Abrupt,0.30407153506677154,0.14271513880207407,0.465427931331469
2048,SSP1-2.6,Abrupt,0.30753774279020923,0.1448870093509869,0.4701884762294316
2049,SSP1-2.6,Abrupt,0.3096651332082884,0.14602917820471678,0.47330108821186007
2050,SSP1-2.6,Abrupt,0.3104280261901219,0.1461426094432523,0.47471344293699147
