Year,SSP,Process,mean_TgCH4_yr,ymin_TgCH4_yr,ymax_TgCH4_yr
2014,SSP1-2.6,Gradual,0.00585941069032645,0,0.0156823431386076
2015,SSP1-2.6,Gradual,0.00594379381886116,0,0.01585427048203092
2016,SSP1-2.6,Gradual,0.00596611408282366,0,0.01583615629924088
2017,SSP1-2.6,Gradual,0.00599772820322498,0,0.0158433993814202
2018,SSP1-2.6,Gradual,0.00605454753881686,0,0.015920826703669948
2019,SSP1-2.6,Gradual,0.00613997421862729,0,0.01607409490638031
2020,SSP1-2.6,Gradual,0.0062562317608884,0,0.01630871586319796
2021,SSP1-2.6,Gradual,0.00642258162132125,0,0.01667961383348485
2022,SSP1-2.6,Gradual,0.00663805062476895,0,0.017184229311074307
2023,SSP1-2.6,Gradual,0.00687358312532238,0,0.017739905769150292
2024,SSP1-2.6,Gradual,0.00710197565103769,0,0.01826884832994093
2025,SSP1-2.6,Gradual,0.00728832807965266,0,0.01867472151015883
2026,SSP1-2.6,Gradual,0.0074260736456782,0,0.01894067828323956
2027,SSP1-2.6,Gradual,0.00752158639628241,0,0.019088070991814518
2028,SSP1-2.6,Gradual,0.00759992129965846,0,0.01918856622086655
2029,SSP1-2.6,Gradual,0.00766149700210825,0,0.01924665247005564
2030,SSP1-2.6,Gradual,0.00771701472150809,0,0.0192916495026588
2031,SSP1-2.6,Gradual,0.00776568118712152,0,0.01932258583195546
2032,SSP1-2.6,Gradual,0.00782052968998739,0,0.01937375541681096
2033,SSP1-2.6,Gradual,0.00790731751193405,0,0.01951430442405503
2034,SSP1-2.6,Gradual,0.00804607426540371,0,0.01979756859133571
2035,SSP1-2.6,Gradual,0.00818758651059827,0,0.02009159085769863
2036,SSP1-2.6,Gradual,0.00833403738338792,0,0.020396487274139168
2037,SSP1-2.6,Gradual,0.00843912604239796,0,0.02059126976423297
2038,SSP1-2.6,Gradual,0.00852057057725202,0,0.02071987382176356
2039,SSP1-2.6,Gradual,0.0085547560634805,0,0.020724761301613312
2040,SSP1-2.6,Gradual,0.00854541916669136,0,0.02061504574027416
2041,SSP1-2.6,Gradual,0.00850156840823105,0,0.02041677229449849
2042,SSP1-2.6,Gradual,0.00844944653660854,0,0.02020088052369846
2043,SSP1-2.6,Gradual,0.00840805811712091,0,0.020019748200116608
2044,SSP1-2.6,Gradual,0.00839255943629805,0,0.01991301894455714
2045,SSP1-2.6,Gradual,0.00843467618027219,0,0.01996133849405484
2046,SSP1-2.6,Gradual,0.00851595578223957,0,0.02011661392267772
2047,SSP1-2.6,Gradual,0.00862674471528902,0,0.02035020742459004
2048,SSP1-2.6,Gradual,0.00872525808720298,0,0.02055339314814368
2049,SSP1-2.6,Gradual,0.00876564930603022,0,0.02060534243322679
2050,SSP1-2.6,Gradual,0.00873420062245804,0,0.020468826822715107
2051,SSP1-2.6,Gradual,0.00866675143859154,0,0.02023795113215998
2052,SSP1-2.6,Gradual,0.00858106121079032,0,0.01996309393591979
2053,SSP1-2.6,Gradual,0.0084894883648653,0,0.01967758523423455
2054,SSP1-2.6,Gradual,0.00841444296281961,0,0.01944084283125242
2055,SSP1-2.6,Gradual,0.00837852341376488,0,0.0193133327813042
2056,SSP1-2.6,Gradual,0.00838941676018498,0,0.01931296312431927
2057,SSP1-2.6,Gradual,0.00840857407135325,0,0.01933685590617748
2058,SSP1-2.6,Gradual,0.00842848659094827,0,0.01936176056853427
2059,SSP1-2.6,Gradual,0.00844568347934955,0,0.01937945722228515
2060,SSP1-2.6,Gradual,0.00842380192452332,0,0.01929811715472338
2061,SSP1-2.6,Gradual,0.00836607850791777,0,0.01912342150214469
2062,SSP1-2.6,Gradual,0.00828768447255752,0,0.018895908300364937
2063,SSP1-2.6,Gradual,0.00820656802114745,0,0.01866300718896841
2064,SSP1-2.6,Gradual,0.00813060826449368,0,0.01844674136746171
2065,SSP1-2.6,Gradual,0.00806921855153318,0,0.018271789644108208
2066,SSP1-2.6,Gradual,0.00804701563860632,0,0.01820246451171737
2067,SSP1-2.6,Gradual,0.00806411785015121,0,0.01824012483844992
2068,SSP1-2.6,Gradual,0.0081002532583445,0,0.01832710119565307
2069,SSP1-2.6,Gradual,0.00811793294816159,0,0.01836502888231037
2070,SSP1-2.6,Gradual,0.00809632742372943,0,0.01830073526561902
2071,SSP1-2.6,Gradual,0.00803475104888064,0,0.01813175321016934
2072,SSP1-2.6,Gradual,0.00795659703363964,0,0.01791849120978085
2073,SSP1-2.6,Gradual,0.007873467235018,0,0.01769304221523737
2074,SSP1-2.6,Gradual,0.0077862381401574,0,0.01745901312087557
2075,SSP1-2.6,Gradual,0.0077013033206029,0,0.01723236150906549
2076,SSP1-2.6,Gradual,0.00761931260475969,0,0.017015681666414872
2077,SSP1-2.6,Gradual,0.00754742816411376,0,0.01682661233645745
2078,SSP1-2.6,Gradual,0.00749287304170035,0,0.016685309756865573
2079,SSP1-2.6,Gradual,0.00745523750651641,0,0.01659237246670835
2080,SSP1-2.6,Gradual,0.00742758859258898,0,0.01652854956700989
2081,SSP1-2.6,Gradual,0.00739715515998378,0,0.01645851678474938
2082,SSP1-2.6,Gradual,0.00735973508731007,0,0.016369221172799688
2083,SSP1-2.6,Gradual,0.00730419882909131,0,0.01623145163664289
2084,SSP1-2.6,Gradual,0.00724011871953241,0,0.01606943497729075
2085,SSP1-2.6,Gradual,0.00716360692941695,0,0.01587729676656896
2086,SSP1-2.6,Gradual,0.00708429866643687,0,0.01567888075288984
2087,SSP1-2.6,Gradual,0.00700950183718935,0,0.015491598453916691
2088,SSP1-2.6,Gradual,0.00693992535135682,0,0.01531774292996371
2089,SSP1-2.6,Gradual,0.00688200560866744,0,0.01517112882962919
2090,SSP1-2.6,Gradual,0.00684022450928192,0,0.015063920676340381
2091,SSP1-2.6,Gradual,0.00681008423860757,0,0.014990330102362979
2092,SSP1-2.6,Gradual,0.00679443143661033,0,0.01495818084085341
2093,SSP1-2.6,Gradual,0.00676908372171372,0,0.014906494120230311
2094,SSP1-2.6,Gradual,0.00672300775247096,0,0.0147998112607979
2095,SSP1-2.6,Gradual,0.00666433006436709,0,0.01465881452228266
2096,SSP1-2.6,Gradual,0.00659683241542794,0,0.014496785755933161
2097,SSP1-2.6,Gradual,0.00653046804785632,0,0.014336910315002751
2098,SSP1-2.6,Gradual,0.00646601193296739,0,0.01418236119996035
2099,SSP1-2.6,Gradual,0.00641052087727143,0,0.01404776351092835
2100,SSP1-2.6,Gradual,0.00636777692114495,0,0.01394126041004906
2014,SSP1-2.6,Abrupt,0.01278849928985214,0.0072595805733644304,0.01831741800633985
2015,SSP1-2.6,Abrupt,0.01297819108930338,0.007323269739750031,0.01863311243885673
2016,SSP1-2.6,Abrupt,0.01315954429524265,0.0073980479313947205,0.01892104065909058
2017,SSP1-2.6,Abrupt,0.01338715716148222,0.00752190855513166,0.01925240576783278
2018,SSP1-2.6,Abrupt,0.01365712812346897,0.007687765420714861,0.01962649082622308
2019,SSP1-2.6,Abrupt,0.01396010708127545,0.00788618117158948,0.020034032990961417
2020,SSP1-2.6,Abrupt,0.01429585139566875,0.008115056437929698,0.0204766463534078
2021,SSP1-2.6,Abrupt,0.0146961481263716,0.00839622021454081,0.020996076038202388
2022,SSP1-2.6,Abrupt,0.01514503605947399,0.00871665426119965,0.02157341785774833
2023,SSP1-2.6,Abrupt,0.01559253560149959,0.009038295046371351,0.02214677615662783
2024,SSP1-2.6,Abrupt,0.01600902858857691,0.00933742000629251,0.02268063717086131
2025,SSP1-2.6,Abrupt,0.01635294300437176,0.009580465871803511,0.023125420136940012
2026,SSP1-2.6,Abrupt,0.01663681675187542,0.009777426965840899,0.023496206537909937
2027,SSP1-2.6,Abrupt,0.01687587502000889,0.009940357301999629,0.023811392738018147
2028,SSP1-2.6,Abrupt,0.01710837996266953,0.0100996882598604,0.024117071665478662
2029,SSP1-2.6,Abrupt,0.01732129541553561,0.010244395674247769,0.02439819515682345
2030,SSP1-2.6,Abrupt,0.01753131144351595,0.01038757531214784,0.024675047574884063
2031,SSP1-2.6,Abrupt,0.01772954004524392,0.010520519268539502,0.02493856082194834
2032,SSP1-2.6,Abrupt,0.01793642169822942,0.01066042556747417,0.02521241782898467
2033,SSP1-2.6,Abrupt,0.01818294096834385,0.010832559499315041,0.025533322437372663
2034,SSP1-2.6,Abrupt,0.01848501708501728,0.011049621500542492,0.02592041266949207
2035,SSP1-2.6,Abrupt,0.01876055346634116,0.011243456319353449,0.02627765061332887
2036,SSP1-2.6,Abrupt,0.01903726325595493,0.011438130710974229,0.02663639580093563
2037,SSP1-2.6,Abrupt,0.01924835340232739,0.011578269008802069,0.02691843779585271
2038,SSP1-2.6,Abrupt,0.01944304794599958,0.011706339397054788,0.02717975649494437
2039,SSP1-2.6,Abrupt,0.01958056198526372,0.01178807331739076,0.02737305065313668
2040,SSP1-2.6,Abrupt,0.01967859407446792,0.011839222403178619,0.027517965745757218
2041,SSP1-2.6,Abrupt,0.01974589195112894,0.011867431662905081,0.0276243522393528
2042,SSP1-2.6,Abrupt,0.01981539808079929,0.011899821350868879,0.027730974810729697
2043,SSP1-2.6,Abrupt,0.01990011725527743,0.01194629839005796,0.0278539361204969
2044,SSP1-2.6,Abrupt,0.02001155125718059,0.012015745190208349,0.028007357324152826
2045,SSP1-2.6,Abrupt,0.02018290438481703,0.012135426936569351,0.02823038183306471
2046,SSP1-2.6,Abrupt,0.02037505078310667,0.012271058866266109,0.028479042699947228
2047,SSP1-2.6,Abrupt,0.02058512560340864,0.012420728264753489,0.028749522942063788
2048,SSP1-2.6,Abrupt,0.02076368880925834,0.0125428228567826,0.02898455476173408
2049,SSP1-2.6,Abrupt,0.02087245567663932,0.01260615594740454,0.0291387554058741
2050,SSP1-2.6,Abrupt,0.02091041259427965,0.01261141212225687,0.02920941306630243
2051,SSP1-2.6,Abrupt,0.02092901557649424,0.01260350758833525,0.02925452356465323
2052,SSP1-2.6,Abrupt,0.02093580898831516,0.012587897944863369,0.02928372003176695
2053,SSP1-2.6,Abrupt,0.02094056023198027,0.012572268035692039,0.0293088524282685
2054,SSP1-2.6,Abrupt,0.02097054112469248,0.01257935483848648,0.02936172741089848
2055,SSP1-2.6,Abrupt,0.02104552284568494,0.012624824872319649,0.02946622081905023
2056,SSP1-2.6,Abrupt,0.02116064306805734,0.012703409776049711,0.029617876360064972
2057,SSP1-2.6,Abrupt,0.02125918720971321,0.012766236714484161,0.029752137704942262
2058,SSP1-2.6,Abrupt,0.02135154018291688,0.012823636005824358,0.0298794443600094
2059,SSP1-2.6,Abrupt,0.02143667654572348,0.012875044259404769,0.029998308832042186
2060,SSP1-2.6,Abrupt,0.02147254189645371,0.01288434960244519,0.03006073419046223
2061,SSP1-2.6,Abrupt,0.02147477340285452,0.01286626165830083,0.030083285147408212
2062,SSP1-2.6,Abrupt,0.02145889726611803,0.012834431957993862,0.0300833625742422
2063,SSP1-2.6,Abrupt,0.02144669235577672,0.01280738270083,0.03008600201072344
2064,SSP1-2.6,Abrupt,0.0214421602925165,0.01278779634227522,0.03009652424275778
2065,SSP1-2.6,Abrupt,0.02145732682266625,0.01278566841885972,0.030128985226472782
2066,SSP1-2.6,Abrupt,0.02152420899080355,0.012828060794316259,0.03022035718729084
2067,SSP1-2.6,Abrupt,0.02162159794074909,0.01289524534658843,0.030347950534909747
2068,SSP1-2.6,Abrupt,0.02172007821068678,0.01296172201508392,0.03047843440628964
2069,SSP1-2.6,Abrupt,0.02178288159602784,0.012996421003647939,0.03056934218840774
2070,SSP1-2.6,Abrupt,0.02180085378482521,0.01299269194661836,0.03060901562303206
2071,SSP1-2.6,Abrupt,0.02177452179081218,0.01295205996577383,0.03059698361585053
2072,SSP1-2.6,Abrupt,0.02173689333464038,0.012903921991189721,0.030569864678091044
2073,SSP1-2.6,Abrupt,0.0216955355956068,0.012854187212111208,0.03053688397910239
2074,SSP1-2.6,Abrupt,0.02164339917750199,0.01279613097953327,0.03049066737547071
2075,SSP1-2.6,Abrupt,0.02159374136971991,0.01274122036386088,0.03044626237557894
2076,SSP1-2.6,Abrupt,0.02154478993029054,0.012687442691580241,0.03040213716900084
2077,SSP1-2.6,Abrupt,0.02151514085493467,0.01265098289566842,0.03037929881420092
2078,SSP1-2.6,Abrupt,0.02151858419182516,0.01264321968832582,0.0303939486953245
2079,SSP1-2.6,Abrupt,0.02154671739284353,0.012655979680372319,0.030437455105314738
2080,SSP1-2.6,Abrupt,0.02158073724353815,0.01267263229208073,0.03048884219499557
2081,SSP1-2.6,Abrupt,0.0215965249444916,0.012672716197556968,0.03052033369142623
2082,SSP1-2.6,Abrupt,0.02159531405266295,0.012658267180393321,0.030532360924932583
2083,SSP1-2.6,Abrupt,0.02155828485891865,0.012613176277540019,0.030503393440297278
2084,SSP1-2.6,Abrupt,0.02150843095790257,0.012558457712495998,0.03045840420330914
2085,SSP1-2.6,Abrupt,0.02142483663926862,0.012475598360989399,0.03037407491754784
2086,SSP1-2.6,Abrupt,0.02133295639478185,0.01238747616117041,0.030278436628393288
2087,SSP1-2.6,Abrupt,0.02125362918559161,0.01231178829783675,0.03019547007334647
2088,SSP1-2.6,Abrupt,0.02118729309341321,0.01224800162573811,0.030126584561088313
2089,SSP1-2.6,Abrupt,0.02115599597744721,0.01221498138639944,0.03009701056849498
2090,SSP1-2.6,Abrupt,0.02117057422752949,0.012221458407576909,0.03011969004748207
2091,SSP1-2.6,Abrupt,0.02120672575153068,0.01224537931666742,0.03016807218639394
2092,SSP1-2.6,Abrupt,0.02126834432639918,0.01229029873871235,0.03024638991408601
2093,SSP1-2.6,Abrupt,0.02128230966184798,0.012291795676442889,0.030272823647253068
2094,SSP1-2.6,Abrupt,0.02124258114450707,0.01224683842842206,0.03023832386059208
2095,SSP1-2.6,Abrupt,0.02117438808687407,0.012179055645557949,0.03016972052819019
2096,SSP1-2.6,Abrupt,0.0210805886503184,0.01209089337928859,0.03007028392134821
2097,SSP1-2.6,Abrupt,0.02099274064787701,0.012010072558692858,0.029975408737061157
2098,SSP1-2.6,Abrupt,0.02090984998515878,0.011934603631003678,0.02988509633931388
2099,SSP1-2.6,Abrupt,0.02085883078640402,0.01188776802145569,0.02982989355135235
2100,SSP1-2.6,Abrupt,0.0208526641763282,0.011879789476317678,0.02982553887633872
2014,SSP1-2.6,Combustion,0.00288438463404279,0.0017184104486575298,0.00405035881942805
2015,SSP1-2.6,Combustion,0.00290734490690342,0.0017199469094889201,0.00409474290431792
2016,SSP1-2.6,Combustion,0.00292866174998752,0.00172305177286761,0.00413427172710743
2017,SSP1-2.6,Combustion,0.00296084161759072,0.00173638827824092,0.00418529495694052
2018,SSP1-2.6,Combustion,0.00300283062052364,0.00175829123354333,0.00424737000750395
2019,SSP1-2.6,Combustion,0.00305226006386403,0.00178638226681102,0.0043181378609170405
2020,SSP1-2.6,Combustion,0.00310900497639,0.0018200789059034,0.0043979310468766
2021,SSP1-2.6,Combustion,0.00318020818000122,0.00186383524291604,0.0044965811170864
2022,SSP1-2.6,Combustion,0.00326220489652902,0.00191462348957221,0.0046097863034858305
2023,SSP1-2.6,Combustion,0.00334341661971475,0.00196420939207447,0.00472262384735503
2024,SSP1-2.6,Combustion,0.00341722053475516,0.0020081784124628102,0.00482626265704751
2025,SSP1-2.6,Combustion,0.0034741531851700002,0.0020402055082291105,0.00490810086211089
2026,SSP1-2.6,Combustion,0.00351713193530116,0.002062706788119,0.00497155708248332
2027,SSP1-2.6,Combustion,0.00354966549442712,0.00207826511642264,0.0050210658724316
2028,SSP1-2.6,Combustion,0.00358059880042575,0.00209305794948376,0.00506813965136774
2029,SSP1-2.6,Combustion,0.00360688390081427,0.0021047292514832497,0.00510903855014529
2030,SSP1-2.6,Combustion,0.0036324202260379,0.00211598538306998,0.00514885506900582
2031,SSP1-2.6,Combustion,0.00365517021136773,0.0021253477500463597,0.0051849926726891
2032,SSP1-2.6,Combustion,0.0036799161812258,0.00213621809707821,0.00522361426537339
2033,SSP1-2.6,Combustion,0.00371394637594782,0.0021535797376954196,0.00527431301420022
